accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,335.33340503007963
AKL,2020,FuelCost,335.33340503007963
AKL,2020,Invest,32.811076330532806
AKL,2020,OMFix,2.587348534886221
AKL,2020,SlackCost,4.157035043021179e-06
AKL,2020,SystemCost,370.7318340525337
AKL,2030,CO2_emission,86.61231598709382
AKL,2030,FuelCost,86.61231598709382
AKL,2030,Invest,148.59076569629784
AKL,2030,OMFix,3.6824214877746977
AKL,2030,SlackCost,4.106030249305787
AKL,2030,SystemCost,242.9915334204721
AKL,2040,CO2_emission,512.102038390395
AKL,2040,FuelCost,512.102038390395
AKL,2040,Invest,239.21858398568537
AKL,2040,OMFix,5.508313506021733
AKL,2040,SlackCost,0.19920066680753493
AKL,2040,SystemCost,757.0281365489096
AKL,2050,CO2_emission,707.6561569280034
AKL,2050,FuelCost,707.6561569280034
AKL,2050,Invest,304.3263730406584
AKL,2050,OMFix,8.654173918814841
AKL,2050,SlackCost,4.095652418216104
AKL,2050,SystemCost,1024.7323563056927
AKL,horizon,CO2_emission,1641.7039163355719
AKL,horizon,FuelCost,1641.7039163355719
AKL,horizon,Invest,724.9467990531743
AKL,horizon,OMFix,20.43225744749749
AKL,horizon,SlackCost,8.400887491364468
AKL,horizon,SystemCost,2395.483860327608
BOP,2020,CO2_emission,0.37663389128271446
BOP,2020,FuelCost,0.37663389128271446
BOP,2020,Invest,54.03696114327695
BOP,2020,OMFix,0.20351909658558626
BOP,2020,SlackCost,0.15105673610632725
BOP,2020,SystemCost,54.76817086725158
BOP,2030,CO2_emission,9.915609650125214
BOP,2030,FuelCost,9.915609650125214
BOP,2030,Invest,73.10705880010777
BOP,2030,OMFix,0.3251503621694216
BOP,2030,SlackCost,1.2397912618323284e-05
BOP,2030,SystemCost,83.34783121031502
BOP,2040,CO2_emission,37.09496217106231
BOP,2040,FuelCost,37.09496217106231
BOP,2040,Invest,147.14996885851843
BOP,2040,OMFix,0.4801876762890527
BOP,2040,SlackCost,3.275614488635875e-06
BOP,2040,SystemCost,184.7251219814843
BOP,2050,CO2_emission,84.30155308429151
BOP,2050,FuelCost,84.30155308429151
BOP,2050,Invest,220.07264921303508
BOP,2050,OMFix,0.6322001271989814
BOP,2050,SlackCost,0.00020039194341304082
BOP,2050,SystemCost,305.00660281646896
BOP,horizon,CO2_emission,131.68875879676176
BOP,horizon,FuelCost,131.68875879676176
BOP,horizon,Invest,494.3666380149382
BOP,horizon,OMFix,1.641057262243042
BOP,horizon,SlackCost,0.15127280157684722
BOP,horizon,SystemCost,627.8477268755198
CAN,2020,CO2_emission,1.0937093827875271e-05
CAN,2020,FuelCost,1.0937093827875271e-05
CAN,2020,Invest,14.056462902056277
CAN,2020,OMFix,2.0149417251250443
CAN,2020,SlackCost,4.422108319939587e-06
CAN,2020,SystemCost,16.071419986383468
CAN,2030,CO2_emission,1.53730337413198e-05
CAN,2030,FuelCost,1.53730337413198e-05
CAN,2030,Invest,23.126972917051248
CAN,2030,OMFix,5.039398087065754
CAN,2030,SlackCost,8.190471996100496e-07
CAN,2030,SystemCost,28.16638719619794
CAN,2040,CO2_emission,3.9826401855459446e-05
CAN,2040,FuelCost,3.9826401855459446e-05
CAN,2040,Invest,29.995928149786018
CAN,2040,OMFix,9.09888819036209
CAN,2040,SlackCost,1.1710176227400451e-06
CAN,2040,SystemCost,39.09485733756758
CAN,2050,CO2_emission,13.295855111849491
CAN,2050,FuelCost,13.295855111849491
CAN,2050,Invest,39.99527764640745
CAN,2050,OMFix,13.00439981245319
CAN,2050,SlackCost,9.11872279453636e-06
CAN,2050,SystemCost,66.29554168943294
CAN,horizon,CO2_emission,13.295921248378916
CAN,horizon,FuelCost,13.295921248378916
CAN,horizon,Invest,107.174641615301
CAN,horizon,OMFix,29.157627815006077
CAN,horizon,SlackCost,1.5530895936826043e-05
CAN,horizon,SystemCost,149.62820620958192
CEN,2020,Invest,56.80135935313106
CEN,2020,OMFix,0.6444443803035576
CEN,2020,SlackCost,4.06464429275385e-06
CEN,2020,SystemCost,57.44580779807891
CEN,2030,CO2_emission,5.5864847883505396e-05
CEN,2030,FuelCost,5.5864847883505396e-05
CEN,2030,Invest,65.80571485865102
CEN,2030,OMFix,3.1238848367653054
CEN,2030,SlackCost,1.3137832065363178e-06
CEN,2030,SystemCost,68.9296568740474
CEN,2040,CO2_emission,0.0005321527202172769
CEN,2040,FuelCost,0.0005321527202172769
CEN,2040,Invest,39.78325786756304
CEN,2040,OMFix,5.755925025449709
CEN,2040,SlackCost,5.695558507612591
CEN,2040,SystemCost,51.23527355334555
CEN,2050,CO2_emission,38.706571290421266
CEN,2050,FuelCost,38.706571290421266
CEN,2050,Invest,38.05835699815681
CEN,2050,OMFix,8.667368457849836
CEN,2050,SlackCost,5.980601248526954
CEN,2050,SystemCost,91.41289799495486
CEN,horizon,CO2_emission,38.707159307989365
CEN,horizon,FuelCost,38.707159307989365
CEN,horizon,Invest,200.4486890775019
CEN,horizon,OMFix,18.19162270036841
CEN,horizon,SlackCost,11.676165134567043
CEN,horizon,SystemCost,269.0236362204267
HBY,2020,CO2_emission,1.838051746586855
HBY,2020,FuelCost,1.838051746586855
HBY,2020,Invest,14.999906967318715
HBY,2020,OMFix,0.3682765843600613
HBY,2020,SlackCost,4.452030543142798e-06
HBY,2020,SystemCost,17.206239750296174
HBY,2030,CO2_emission,5.230847369282253
HBY,2030,FuelCost,5.230847369282253
HBY,2030,Invest,25.137367020480074
HBY,2030,OMFix,0.40500615793127465
HBY,2030,SlackCost,1.083083238549099e-05
HBY,2030,SystemCost,30.773231378525985
HBY,2040,CO2_emission,54.47487744613652
HBY,2040,FuelCost,54.47487744613652
HBY,2040,Invest,28.831323881343515
HBY,2040,OMFix,0.6196577795703602
HBY,2040,SlackCost,2.274967128711882e-06
HBY,2040,SystemCost,83.92586138201753
HBY,2050,CO2_emission,107.29206760571083
HBY,2050,FuelCost,107.29206760571083
HBY,2050,Invest,37.97916216923156
HBY,2050,OMFix,0.7401673613297183
HBY,2050,SlackCost,0.0004247054831008158
HBY,2050,SystemCost,146.01182184175522
HBY,horizon,CO2_emission,168.83584416771646
HBY,horizon,FuelCost,168.83584416771646
HBY,horizon,Invest,106.94776003837387
HBY,horizon,OMFix,2.1331078831914145
HBY,horizon,SlackCost,0.0004422633131581615
HBY,horizon,SystemCost,277.91715435259493
NEL,2020,Invest,2.2328061486077666
NEL,2020,OMFix,0.2994468844609774
NEL,2020,SlackCost,0.031513046342474066
NEL,2020,SystemCost,2.5637660794112183
NEL,2030,CO2_emission,0.5115710550492504
NEL,2030,FuelCost,0.5115710550492504
NEL,2030,Invest,17.85497961520687
NEL,2030,OMFix,0.398163486595575
NEL,2030,SlackCost,8.144708145960554e-07
NEL,2030,SystemCost,18.76471497132251
NEL,2040,CO2_emission,36.49825374519004
NEL,2040,FuelCost,36.49825374519004
NEL,2040,Invest,33.467075746679804
NEL,2040,OMFix,0.5531589348815678
NEL,2040,SlackCost,1.1456726749195234e-06
NEL,2040,SystemCost,70.51848957242409
NEL,2050,CO2_emission,72.97085696357802
NEL,2050,FuelCost,72.97085696357802
NEL,2050,Invest,41.99761247928324
NEL,2050,OMFix,0.7110645595943368
NEL,2050,SlackCost,1.643946907726735e-05
NEL,2050,SystemCost,115.67955044192466
NEL,horizon,CO2_emission,109.9806817638173
NEL,horizon,FuelCost,109.9806817638173
NEL,horizon,Invest,95.55247398977768
NEL,horizon,OMFix,1.961833865532457
NEL,horizon,SlackCost,0.03153144595504085
NEL,horizon,SystemCost,207.5265210650825
NIS,2020,CO2_emission,0.22343852428651095
NIS,2020,FuelCost,0.22343852428651095
NIS,2020,Invest,12.153949843729425
NIS,2020,OMFix,0.4470425310766001
NIS,2020,SlackCost,0.42509594178449167
NIS,2020,SystemCost,13.249526840877026
NIS,2030,CO2_emission,73.77331288590405
NIS,2030,FuelCost,73.77331288590405
NIS,2030,Invest,162.14624709332395
NIS,2030,OMFix,1.2850828465590987
NIS,2030,SlackCost,1.1596535516969528
NIS,2030,SystemCost,238.36429637748404
NIS,2040,CO2_emission,122.39468202865709
NIS,2040,FuelCost,122.39468202865709
NIS,2040,Invest,337.8365265786292
NIS,2040,OMFix,2.5218401960003187
NIS,2040,SlackCost,0.7353280053635406
NIS,2040,SystemCost,463.4883768086502
NIS,2050,CO2_emission,131.53795335871087
NIS,2050,FuelCost,131.53795335871087
NIS,2050,Invest,601.7455880436985
NIS,2050,OMFix,4.949854903522539
NIS,2050,SlackCost,1.1700059722361618
NIS,2050,SystemCost,739.4034022781681
NIS,horizon,CO2_emission,327.9293867975585
NIS,horizon,FuelCost,327.9293867975585
NIS,horizon,Invest,1113.8823115593812
NIS,horizon,OMFix,9.203820477158557
NIS,horizon,SlackCost,3.490083471081147
NIS,horizon,SystemCost,1454.505602305179
OTG,2020,CO2_emission,9.250688792540197e-06
OTG,2020,FuelCost,9.250688792540197e-06
OTG,2020,Invest,16.985900375223842
OTG,2020,OMFix,0.8322375428692163
OTG,2020,SlackCost,4.420895325236201e-06
OTG,2020,SystemCost,17.818151589677175
OTG,2030,CO2_emission,1.0332981480424603e-05
OTG,2030,FuelCost,1.0332981480424603e-05
OTG,2030,Invest,281.27308460449586
OTG,2030,OMFix,1.7584380348816064
OTG,2030,SlackCost,8.081385593780736e-07
OTG,2030,SystemCost,283.0315337804975
OTG,2040,CO2_emission,3.211443459967064e-05
OTG,2040,FuelCost,3.211443459967064e-05
OTG,2040,Invest,717.6998918716934
OTG,2040,OMFix,3.8854325848190925
OTG,2040,SlackCost,1.165387638288041e-06
OTG,2040,SystemCost,721.5853577363347
OTG,2050,CO2_emission,4.195890134180477
OTG,2050,FuelCost,4.195890134180477
OTG,2050,Invest,1153.427480245033
OTG,2050,OMFix,5.9573162825503205
OTG,2050,SlackCost,1.2711129436702029
OTG,2050,SystemCost,1164.8517996054338
OTG,horizon,CO2_emission,4.1959418322853494
OTG,horizon,FuelCost,4.1959418322853494
OTG,horizon,Invest,2169.386357096446
OTG,horizon,OMFix,12.433424445120234
OTG,horizon,SlackCost,1.2711193380917258
OTG,horizon,SystemCost,2187.2868427119433
TRN,2020,CO2_emission,352.9556003798683
TRN,2020,FuelCost,352.9556003798683
TRN,2020,Invest,57.46187420104671
TRN,2020,OMFix,0.40100400809854797
TRN,2020,SlackCost,4.055481969430619e-06
TRN,2020,SystemCost,410.81848264449553
TRN,2030,CO2_emission,10.217310444108701
TRN,2030,FuelCost,10.217310444108701
TRN,2030,Invest,43.02527340108553
TRN,2030,OMFix,0.6124181312511955
TRN,2030,SlackCost,8.889535455371351e-07
TRN,2030,SystemCost,53.85500286539897
TRN,2040,CO2_emission,53.59916031302525
TRN,2040,FuelCost,53.59916031302525
TRN,2040,Invest,45.6528061876467
TRN,2040,OMFix,0.674946535786606
TRN,2040,SlackCost,1.2050129780356791e-06
TRN,2040,SystemCost,99.92691424147154
TRN,2050,CO2_emission,77.76319728580928
TRN,2050,FuelCost,77.76319728580928
TRN,2050,Invest,38.21516373871833
TRN,2050,OMFix,0.7875422017840383
TRN,2050,SlackCost,0.6100333063475295
TRN,2050,SystemCost,117.37593653265918
TRN,horizon,CO2_emission,494.53526842281155
TRN,horizon,FuelCost,494.53526842281155
TRN,horizon,Invest,184.35511752849726
TRN,horizon,OMFix,2.4759108769203877
TRN,horizon,SlackCost,0.6100394557960225
TRN,horizon,SystemCost,681.9763362840253
WEL,2020,CO2_emission,0.08620951373098847
WEL,2020,FuelCost,0.08620951373098847
WEL,2020,Invest,30.087550598601744
WEL,2020,OMFix,1.0760656353193685
WEL,2020,SlackCost,4.066183995646341e-06
WEL,2020,SystemCost,31.249829813836097
WEL,2030,CO2_emission,3.420207892204206e-05
WEL,2030,FuelCost,3.420207892204206e-05
WEL,2030,Invest,196.57024728793513
WEL,2030,OMFix,4.377861635017365
WEL,2030,SlackCost,0.1334396479306879
WEL,2030,SystemCost,201.0815827729621
WEL,2040,CO2_emission,13.599472963812971
WEL,2040,FuelCost,13.599472963812971
WEL,2040,Invest,273.426673534502
WEL,2040,OMFix,7.5600315191613605
WEL,2040,SlackCost,5.802721459340681
WEL,2040,SystemCost,300.388899476817
WEL,2050,CO2_emission,94.28510950982988
WEL,2050,FuelCost,94.28510950982988
WEL,2050,Invest,447.4800525032519
WEL,2050,OMFix,10.735710113217673
WEL,2050,SlackCost,0.0003477701235758735
WEL,2050,SystemCost,552.501219896423
WEL,horizon,CO2_emission,107.97082618945277
WEL,horizon,FuelCost,107.97082618945277
WEL,horizon,Invest,947.5645239242908
WEL,horizon,OMFix,23.74966890271577
WEL,horizon,SlackCost,5.936512943578941
WEL,horizon,SystemCost,1085.2215319600384
WTO,2020,CO2_emission,1040.0930646241454
WTO,2020,FuelCost,1040.0930646241454
WTO,2020,Invest,305.3662806897118
WTO,2020,OMFix,2.3064865250522883
WTO,2020,SlackCost,4.460960519630201e-06
WTO,2020,SystemCost,1347.7658362998702
WTO,2030,CO2_emission,35.9431140594128
WTO,2030,FuelCost,35.9431140594128
WTO,2030,Invest,289.6544272765827
WTO,2030,OMFix,3.6141901465653943
WTO,2030,SlackCost,1.3250686374032147e-06
WTO,2030,SystemCost,329.2117328076295
WTO,2040,CO2_emission,5.0335316870581076e-05
WTO,2040,FuelCost,5.0335316870581076e-05
WTO,2040,Invest,261.2931809552439
WTO,2040,OMFix,5.308552718371153
WTO,2040,SlackCost,1.3614534905012583e-06
WTO,2040,SystemCost,266.6017853703854
WTO,2050,CO2_emission,0.0003367615002061053
WTO,2050,FuelCost,0.0003367615002061053
WTO,2050,Invest,263.6454659048605
WTO,2050,OMFix,7.356795063000477
WTO,2050,SlackCost,1.635537057813016e-05
WTO,2050,SystemCost,271.00261408473176
WTO,horizon,CO2_emission,1076.0365657803754
WTO,horizon,FuelCost,1076.0365657803754
WTO,horizon,Invest,1119.9593548263988
WTO,horizon,OMFix,18.586024452989314
WTO,horizon,SlackCost,2.350285322566483e-05
WTO,horizon,SystemCost,2214.581968562617
global,2020,CO2_emission,1730.906423897763
global,2020,FuelCost,1730.906423897763
global,2020,Invest,596.9941285532371
global,2020,OMFix,11.18081344813747
global,2020,SlackCost,0.6076998235733019
global,2020,SystemCost,2339.689065722711
global,2030,CO2_emission,222.20419722391813
global,2030,FuelCost,222.20419722391813
global,2030,Invest,1326.2921385712182
global,2030,OMFix,24.62201521257669
global,2030,SlackCost,5.399152647140395
global,2030,SystemCost,1578.5175036548533
global,2040,CO2_emission,829.7641014871526
global,2040,FuelCost,829.7641014871526
global,2040,Invest,2154.355217617291
global,2040,OMFix,41.96693466671305
global,2040,SlackCost,12.43282023825037
global,2040,SystemCost,3038.519074009407
global,2050,CO2_emission,1332.0055480338854
global,2050,FuelCost,1332.0055480338854
global,2050,Invest,3186.943181982335
global,2050,OMFix,62.19659280131595
global,2050,SlackCost,13.128420670109492
global,2050,SystemCost,4594.273743487644
global,horizon,CO2_emission,4114.880270642719
global,horizon,FuelCost,4114.880270642719
global,horizon,Invest,7264.58466672408
global,horizon,OMFix,139.96635612874312
global,horizon,SlackCost,31.56809337907356
global,horizon,SystemCost,11550.99938687462
