accNodesModel,accYears,techs,commodity,balanceType,value
AKL,2020,BIO,Elec,netto,48.76461368542367
AKL,2020,BIO,Elec,brutto,48.76461368542367
AKL,2020,BIO,Elec,positive,48.76461368542367
AKL,2020,BIO,Elec,flh,6966.3733836319525
AKL,2020,Battery,Elec,netto,-0.00013138995836385855
AKL,2020,Battery,Elec,brutto,0.00013138995836385855
AKL,2020,Battery,Elec,negative,-0.00013138995836385855
AKL,2020,Battery,Elec,flh,6.279460511214478
AKL,2020,Battery,Elec_battery,netto,9.529120656610879e-22
AKL,2020,Battery,Elec_battery,brutto,8.430624803140458e-21
AKL,2020,Battery,Elec_battery,positive,4.691768434400773e-21
AKL,2020,Battery,Elec_battery,negative,-3.738856368739685e-21
AKL,2020,Battery,Elec_battery,flh,4.1325232425885954e-16
AKL,2020,Electrolyser,Elec,netto,-0.0010179532291318388
AKL,2020,Electrolyser,Elec,brutto,0.0010179532291318388
AKL,2020,Electrolyser,Elec,negative,-0.0010179532291318388
AKL,2020,Electrolyser,H2,netto,0.0006769388973726725
AKL,2020,Electrolyser,H2,brutto,0.0006769388973726725
AKL,2020,Electrolyser,H2,positive,0.0006769388973726725
AKL,2020,Electrolyser,H2,flh,325.6811871652285
AKL,2020,GT,Elec,netto,25.040904452205897
AKL,2020,GT,Elec,brutto,25.040904452205897
AKL,2020,GT,Elec,positive,25.040904452205897
AKL,2020,GT,Elec,flh,6955.806792279416
AKL,2020,H2_storage,H2,netto,-0.0006483140837750046
AKL,2020,H2_storage,H2,brutto,0.0006952678137485913
AKL,2020,H2_storage,H2,positive,2.347686498679379e-05
AKL,2020,H2_storage,H2,negative,-0.0006717909487617974
AKL,2020,H2_storage,H2,flh,14.203287551502143
AKL,2020,H2_storage,H2_stored,netto,-2.8473482333047865e-05
AKL,2020,H2_storage,H2_stored,brutto,2.8473482333047865e-05
AKL,2020,H2_storage,H2_stored,negative,-2.8473482333047865e-05
AKL,2020,H2_storage,H2_stored,flh,0.6535628125517261
AKL,2020,HV,Elec,netto,7321.668185996944
AKL,2020,HV,Elec,brutto,7321.668185996944
AKL,2020,HV,Elec,positive,7321.668185996944
AKL,2020,Demand,H2,netto,-0.00031767380093402237
AKL,2020,Demand,H2,brutto,0.00031767380093402237
AKL,2020,Demand,H2,negative,-0.00031767380093402237
AKL,2020,Slack,Elec,netto,729.3469579058043
AKL,2020,Slack,Elec,brutto,729.3469579058043
AKL,2020,Slack,Elec,positive,729.3469579058043
AKL,2020,Wholesale,Elec,netto,-8124.819000000011
