accNodesModel,accYears,techs,commodity,capType,value
AKL,2000,CCGT,Elec,upperLimit,100.0
AKL,2000,GT,Elec,upperLimit,100.0
AKL,2000,OCGT,Elec,upperLimit,100.0
AKL,2001,CCGT,Elec,upperLimit,100.0
AKL,2001,GT,Elec,upperLimit,100.0
AKL,2001,OCGT,Elec,upperLimit,100.0
AKL,2002,CCGT,Elec,upperLimit,100.0
AKL,2002,GT,Elec,upperLimit,100.0
AKL,2002,OCGT,Elec,upperLimit,100.0
AKL,2003,CCGT,Elec,upperLimit,100.0
AKL,2003,GT,Elec,upperLimit,100.0
AKL,2003,OCGT,Elec,upperLimit,100.0
AKL,2004,CCGT,Elec,upperLimit,100.0
AKL,2004,GT,Elec,upperLimit,100.0
AKL,2004,OCGT,Elec,upperLimit,100.0
AKL,2005,CCGT,Elec,upperLimit,100.0
AKL,2005,GT,Elec,upperLimit,100.0
AKL,2005,OCGT,Elec,upperLimit,100.0
AKL,2006,CCGT,Elec,upperLimit,100.0
AKL,2006,GT,Elec,upperLimit,100.0
AKL,2006,OCGT,Elec,upperLimit,100.0
AKL,2007,CCGT,Elec,upperLimit,100.0
AKL,2007,GT,Elec,upperLimit,100.0
AKL,2007,OCGT,Elec,upperLimit,100.0
AKL,2008,CCGT,Elec,upperLimit,100.0
AKL,2008,GT,Elec,upperLimit,100.0
AKL,2008,OCGT,Elec,upperLimit,100.0
AKL,2009,CCGT,Elec,upperLimit,100.0
AKL,2009,GT,Elec,upperLimit,100.0
AKL,2009,OCGT,Elec,upperLimit,100.0
AKL,2010,CCGT,Elec,upperLimit,100.0
AKL,2010,GT,Elec,upperLimit,100.0
AKL,2010,OCGT,Elec,upperLimit,100.0
AKL,2011,CCGT,Elec,upperLimit,100.0
AKL,2011,GT,Elec,upperLimit,100.0
AKL,2011,OCGT,Elec,upperLimit,100.0
AKL,2012,CCGT,Elec,upperLimit,100.0
AKL,2012,GT,Elec,upperLimit,100.0
AKL,2012,OCGT,Elec,upperLimit,100.0
AKL,2013,CCGT,Elec,upperLimit,100.0
AKL,2013,GT,Elec,upperLimit,100.0
AKL,2013,OCGT,Elec,upperLimit,100.0
AKL,2014,CCGT,Elec,upperLimit,100.0
AKL,2014,GT,Elec,upperLimit,100.0
AKL,2014,OCGT,Elec,upperLimit,100.0
AKL,2015,CCGT,Elec,upperLimit,100.0
AKL,2015,GT,Elec,upperLimit,100.0
AKL,2015,OCGT,Elec,upperLimit,100.0
AKL,2016,CCGT,Elec,upperLimit,100.0
AKL,2016,GT,Elec,upperLimit,100.0
AKL,2016,OCGT,Elec,upperLimit,100.0
AKL,2017,CCGT,Elec,upperLimit,100.0
AKL,2017,GT,Elec,upperLimit,100.0
AKL,2017,OCGT,Elec,upperLimit,100.0
AKL,2018,CCGT,Elec,upperLimit,100.0
AKL,2018,GT,Elec,upperLimit,100.0
AKL,2018,OCGT,Elec,upperLimit,100.0
AKL,2019,CCGT,Elec,upperLimit,100.0
AKL,2019,GT,Elec,upperLimit,100.0
AKL,2019,OCGT,Elec,upperLimit,100.0
AKL,2020,Battery,Elec,upperLimit,50.0
AKL,2020,Battery,Elec_battery,upperLimit,48.75
AKL,2020,CCGT,Elec,upperLimit,100.0
AKL,2020,Electrolyser,H2,upperLimit,66.5
AKL,2020,GT,Elec,upperLimit,100.0
AKL,2020,H2_storage,H2,upperLimit,7.5
AKL,2020,H2_storage,H2_stored,upperLimit,6.675000000000001
AKL,2020,OCGT,Elec,upperLimit,100.0
AKL,2035,Battery,Elec,build,2.32148557701123
AKL,2035,Battery,Elec,total,2.32150659862521
AKL,2035,Battery,Elec,upperLimit,100.0
AKL,2035,Battery,Elec_battery,build,2.263448437585949
AKL,2035,Battery,Elec_battery,total,2.2634689336595795
AKL,2035,Battery,Elec_battery,upperLimit,97.5
