accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,36.290350401516804
AKL,2020,FuelCost,36.290350401516804
AKL,2020,Invest,15.75239341249826
AKL,2020,OMFix,2.1356909535713555
AKL,2020,SlackCost,2188.040873717398
AKL,2020,SystemCost,2242.2193084849846
AKL,2035,CO2_emission,61.988219721718664
AKL,2035,FuelCost,61.988219721718664
AKL,2035,Invest,369.5178908041959
AKL,2035,OMFix,4.511580339446603
AKL,2035,SlackCost,8.308524016857777e-05
AKL,2035,SystemCost,436.01777395060134
AKL,2050,CO2_emission,46.92642475706242
AKL,2050,FuelCost,46.92642475706242
AKL,2050,Invest,475.79471091472294
AKL,2050,OMFix,4.5837988604979225
AKL,2050,SlackCost,8.25463510399736e-05
AKL,2050,SystemCost,527.3050170786343
AKL,horizon,CO2_emission,145.20499488029787
AKL,horizon,FuelCost,145.20499488029787
AKL,horizon,Invest,861.064995131417
AKL,horizon,OMFix,11.23107015351588
AKL,horizon,SlackCost,2188.041039348989
AKL,horizon,SystemCost,3205.54209951422
BOP,2020,Invest,59.07964672193044
BOP,2020,OMFix,0.14256298581557186
BOP,2020,SlackCost,6.722060848430616
BOP,2020,SystemCost,65.94427055617663
BOP,2035,CO2_emission,22.89972405867213
BOP,2035,FuelCost,22.89972405867213
BOP,2035,Invest,148.82364498001843
BOP,2035,OMFix,0.3018829591350263
BOP,2035,SlackCost,8.320351219677616e-05
BOP,2035,SystemCost,172.02533520133775
BOP,2050,CO2_emission,34.057259684471326
BOP,2050,FuelCost,34.057259684471326
BOP,2050,Invest,127.4813230386372
BOP,2050,OMFix,0.30194676884827787
BOP,2050,SlackCost,8.26692063281013e-05
BOP,2050,SystemCost,161.84061216116314
BOP,horizon,CO2_emission,56.956983743143454
BOP,horizon,FuelCost,56.956983743143454
BOP,horizon,Invest,335.3846147405861
BOP,horizon,OMFix,0.746392713798876
BOP,horizon,SlackCost,6.722226721149141
BOP,horizon,SystemCost,399.8102179186775
CAN,2020,Invest,22.32908926360062
CAN,2020,OMFix,3.359600405715864
CAN,2020,SlackCost,2781.0994352265197
CAN,2020,SystemCost,2806.788124895836
CAN,2035,CO2_emission,12.915749983449855
CAN,2035,FuelCost,12.915749983449855
CAN,2035,Invest,249.80557744736745
CAN,2035,OMFix,3.7313224397267275
CAN,2035,SlackCost,8.32732081926831e-05
CAN,2035,SystemCost,266.45273314375225
CAN,2050,CO2_emission,4.86877206149257
CAN,2050,FuelCost,4.86877206149257
CAN,2050,Invest,416.7446094901819
CAN,2050,OMFix,4.158694682931767
CAN,2050,SlackCost,8.249428796488195e-05
CAN,2050,SystemCost,425.77215872889417
CAN,horizon,CO2_emission,17.784522044942424
CAN,horizon,FuelCost,17.784522044942424
CAN,horizon,Invest,688.87927620115
CAN,horizon,OMFix,11.249617528374358
CAN,horizon,SlackCost,2781.099600994016
CAN,horizon,SystemCost,3499.0130167684824
CEN,2020,Invest,15.073021278756354
CEN,2020,OMFix,2.267830732589621
CEN,2020,SlackCost,0.008260749038723172
CEN,2020,SystemCost,17.349112760384696
CEN,2035,CO2_emission,0.019030226255203692
CEN,2035,FuelCost,0.019030226255203692
CEN,2035,Invest,81.76603451863781
CEN,2035,OMFix,2.63989694035287
CEN,2035,SlackCost,8.31521856676158e-05
CEN,2035,SystemCost,84.42504483743154
CEN,2050,CO2_emission,0.013278560072085758
CEN,2050,FuelCost,0.013278560072085758
CEN,2050,Invest,48.99740506270265
CEN,2050,OMFix,3.670555467122786
CEN,2050,SlackCost,8.25715407879831e-05
CEN,2050,SystemCost,52.68132166143831
CEN,horizon,CO2_emission,0.03230878632728945
CEN,horizon,FuelCost,0.03230878632728945
CEN,horizon,Invest,145.83646086009682
CEN,horizon,OMFix,8.578283140065277
CEN,horizon,SlackCost,0.008426472765178772
CEN,horizon,SystemCost,154.45547925925456
HBY,2020,CO2_emission,570.7898651502751
HBY,2020,FuelCost,570.7898651502751
HBY,2020,Invest,14.071331540775947
HBY,2020,OMFix,0.2284610170862478
HBY,2020,SlackCost,74.2043658516642
HBY,2020,SystemCost,659.2940235598015
HBY,2035,CO2_emission,78.74625436535835
HBY,2035,FuelCost,78.74625436535835
HBY,2035,Invest,29.03531444210914
HBY,2035,OMFix,0.5565569770268707
HBY,2035,SlackCost,8.317687377472323e-05
HBY,2035,SystemCost,108.33820896136814
HBY,2050,CO2_emission,53.236248407633
HBY,2050,FuelCost,53.236248407633
HBY,2050,Invest,26.128319878924927
HBY,2050,OMFix,0.769186314930124
HBY,2050,SlackCost,8.263883583971861e-05
HBY,2050,SystemCost,80.13383724032388
HBY,horizon,CO2_emission,702.7723679232664
HBY,horizon,FuelCost,702.7723679232664
HBY,horizon,Invest,69.23496586181001
HBY,horizon,OMFix,1.5542043090432425
HBY,horizon,SlackCost,74.20453166737381
HBY,horizon,SystemCost,847.7660697614934
NEL,2020,Invest,1.6136749753911064
NEL,2020,OMFix,0.24269771975292925
NEL,2020,SlackCost,2264.697365558552
