accNodesModel,accYears,techs,commodity,capType,value
AKL,2020,Battery,Elec_battery,upperLimit,120.0
AKL,2020,H2_storage,H2_stored,upperLimit,349.965
AKL,2035,Battery,Elec_battery,build,15.94154882191439
AKL,2035,Battery,Elec_battery,total,15.94154882191439
AKL,2035,Battery,Elec_battery,upperLimit,240.0
AKL,2035,H2_storage,H2_stored,upperLimit,699.93
AKL,2050,Battery,Elec_battery,build,24.39409740098602
AKL,2050,Battery,Elec_battery,total,40.33564661480597
AKL,2050,Battery,Elec_battery,upperLimit,240.0
AKL,2050,H2_storage,H2_stored,upperLimit,1049.895
BOP,2020,Battery,Elec_battery,upperLimit,120.0
BOP,2020,H2_storage,H2_stored,upperLimit,349.965
BOP,2035,Battery,Elec_battery,build,3.8195079985020914
BOP,2035,Battery,Elec_battery,total,3.8195079985020914
BOP,2035,Battery,Elec_battery,upperLimit,240.0
BOP,2035,H2_storage,H2_stored,upperLimit,699.93
BOP,2050,Battery,Elec_battery,build,4.956158841723161
BOP,2050,Battery,Elec_battery,total,8.77566723213716
BOP,2050,Battery,Elec_battery,upperLimit,240.0
BOP,2050,H2_storage,H2_stored,upperLimit,1049.895
CAN,2020,Battery,Elec_battery,upperLimit,120.0
CAN,2020,H2_storage,H2_stored,upperLimit,349.965
CAN,2020,Hydro,Water_in,upperLimit,2517.2429
CAN,2035,Battery,Elec_battery,build,12.127089074305216
CAN,2035,Battery,Elec_battery,total,12.127089074305216
CAN,2035,Battery,Elec_battery,upperLimit,240.0
CAN,2035,H2_storage,H2_stored,upperLimit,699.93
CAN,2035,Hydro,Water_in,upperLimit,5034.4858
CAN,2050,Battery,Elec_battery,build,20.413151088496008
CAN,2050,Battery,Elec_battery,total,32.540240554704276
CAN,2050,Battery,Elec_battery,upperLimit,240.0
CAN,2050,H2_storage,H2_stored,upperLimit,1049.895
CAN,2050,Hydro,Water_in,upperLimit,7551.728700000001
CEN,2020,Battery,Elec_battery,upperLimit,120.0
CEN,2020,H2_storage,H2_stored,upperLimit,349.965
CEN,2035,Battery,Elec_battery,build,4.18313472739455
CEN,2035,Battery,Elec_battery,total,4.18313472739455
CEN,2035,Battery,Elec_battery,upperLimit,240.0
CEN,2035,H2_storage,H2_stored,upperLimit,699.93
CEN,2050,Battery,Elec_battery,total,4.188112956498794
CEN,2050,Battery,Elec_battery,upperLimit,240.0
CEN,2050,H2_storage,H2_stored,upperLimit,1049.895
HBY,2020,Battery,Elec_battery,upperLimit,120.0
HBY,2020,H2_storage,H2_stored,upperLimit,349.965
HBY,2020,Hydro,Water_in,upperLimit,154.2635
HBY,2035,Battery,Elec_battery,build,0.5374176649839871
HBY,2035,Battery,Elec_battery,total,0.5374176649839871
HBY,2035,Battery,Elec_battery,upperLimit,240.0
HBY,2035,H2_storage,H2_stored,upperLimit,699.93
HBY,2035,Hydro,Water_in,upperLimit,308.527
HBY,2050,Battery,Elec_battery,build,0.45718488577324384
HBY,2050,Battery,Elec_battery,total,0.9946029426639285
HBY,2050,Battery,Elec_battery,upperLimit,240.0
HBY,2050,H2_storage,H2_stored,upperLimit,1049.895
HBY,2050,Hydro,Water_in,upperLimit,462.79049999999995
NEL,2020,Battery,Elec_battery,upperLimit,120.0
NEL,2020,H2_storage,H2_stored,upperLimit,349.965
NEL,2035,Battery,Elec_battery,build,4.203546468334688
NEL,2035,Battery,Elec_battery,total,4.203546468334688
NEL,2035,Battery,Elec_battery,upperLimit,240.0
NEL,2035,H2_storage,H2_stored,upperLimit,699.93
NEL,2050,Battery,Elec_battery,build,2.0879945769367425
NEL,2050,Battery,Elec_battery,total,6.2915414371740805
NEL,2050,Battery,Elec_battery,upperLimit,240.0
NEL,2050,H2_storage,H2_stored,upperLimit,1049.895
NIS,2020,Battery,Elec_battery,upperLimit,120.0
NIS,2020,H2_storage,H2_stored,upperLimit,349.965
NIS,2035,Battery,Elec_battery,build,6.857557893973163
NIS,2035,Battery,Elec_battery,total,6.857557893973163
NIS,2035,Battery,Elec_battery,upperLimit,240.0
NIS,2035,H2_storage,H2_stored,upperLimit,699.93
NIS,2050,Battery,Elec_battery,build,2.3049430987699
NIS,2050,Battery,Elec_battery,total,9.162501384647085
NIS,2050,Battery,Elec_battery,upperLimit,240.0
NIS,2050,H2_storage,H2_stored,upperLimit,1049.895
OTG,2020,Battery,Elec_battery,upperLimit,120.0
OTG,2020,H2_storage,H2_stored,upperLimit,349.965
OTG,2020,Hydro,Water_in,upperLimit,729.5595
OTG,2035,Battery,Elec_battery,build,8.605885357903976
OTG,2035,Battery,Elec_battery,total,8.605885357903976
OTG,2035,Battery,Elec_battery,upperLimit,240.0
OTG,2035,H2_storage,H2_stored,upperLimit,699.93
OTG,2035,Hydro,Water_in,upperLimit,1459.119
OTG,2050,Battery,Elec_battery,build,12.04333752999237
OTG,2050,Battery,Elec_battery,total,20.649223279796633
OTG,2050,Battery,Elec_battery,upperLimit,240.0
OTG,2050,H2_storage,H2_stored,upperLimit,1049.895
