indicator,accNodesData,converter_techs,vintage,activity,perActivity
CO2_emission,global,BIO,1950,Powergen,0.0
CO2_emission,global,BIO,2030,Powergen,0.0
CO2_emission,global,BIO,2050,Powergen,0.0
CO2_emission,global,CCGT,1950,Powergen,0.3475584
CO2_emission,global,CCGT,2030,Powergen,0.3304224
CO2_emission,global,COAL,1950,Powergen,34.06
CO2_emission,global,COAL,2030,Powergen,34.06
CO2_emission,global,COAL,2050,Powergen,34.06
CO2_emission,global,DIE,1950,Powergen,1.0183756
CO2_emission,global,DIE,2030,Powergen,1.0183756
CO2_emission,global,DIE,2050,Powergen,1.0183756
CO2_emission,global,GT,1950,Powergen,0.49170240000000004
CO2_emission,global,GT,2030,Powergen,0.4689216
CO2_emission,global,OCGT,1950,Powergen,0.49170240000000004
CO2_emission,global,OCGT,2030,Powergen,0.4689216
FuelCost,global,BIO,1950,Powergen,300.0
FuelCost,global,BIO,2030,Powergen,300.0
FuelCost,global,BIO,2050,Powergen,300.0
FuelCost,global,CCGT,1950,Powergen,0.36204
FuelCost,global,CCGT,2030,Powergen,0.50809
FuelCost,global,COAL,1950,Powergen,15.0
FuelCost,global,COAL,2030,Powergen,15.0
FuelCost,global,COAL,2050,Powergen,15.0
FuelCost,global,DIE,1950,Powergen,2.21386
FuelCost,global,DIE,2030,Powergen,2.21386
FuelCost,global,DIE,2050,Powergen,2.21386
FuelCost,global,GT,1950,Powergen,0.51219
FuelCost,global,GT,2030,Powergen,0.72106
FuelCost,global,OCGT,1950,Powergen,0.51219
FuelCost,global,OCGT,2030,Powergen,0.72106
