indicator,accNodesData,storage_techs,vintage,perUnitBuild,useAnnuity,amorTime,interest
Invest,global,Battery,2020,936.0,1,20,0.06
Invest,global,Battery,2030,440.0,1,20,0.06
Invest,global,Battery,2040,304.0,1,20,0.06
Invest,global,Battery,2050,244.0,1,20,0.06
Invest,global,levelUpperLimit,2000,1650.0,1,20,0.06
Invest,global,levelUpperLimit,2020,1650.0,1,20,0.06
Invest,global,levelUpperLimit,2030,1650.0,1,20,0.06
Invest,global,levelUpperLimit,2040,1650.0,1,20,0.06
Invest,global,levelUpperLimit,2050,1650.0,1,20,0.06
Invest,global,lifeTime,2000,1650.0,1,20,0.06
Invest,global,lifeTime,2020,1650.0,1,20,0.06
Invest,global,lifeTime,2030,1650.0,1,20,0.06
Invest,global,lifeTime,2040,1650.0,1,20,0.06
Invest,global,lifeTime,2050,1650.0,1,20,0.06
OMFix,global,Battery,2020,0.0,0,0,0.0
OMFix,global,Battery,2030,0.0,0,0,0.0
OMFix,global,Battery,2040,0.0,0,0,0.0
OMFix,global,Battery,2050,0.0,0,0,0.0
OMFix,global,levelUpperLimit,2000,0.0,0,0,0.0
OMFix,global,levelUpperLimit,2020,0.0,0,0,0.0
OMFix,global,levelUpperLimit,2030,0.0,0,0,0.0
OMFix,global,levelUpperLimit,2040,0.0,0,0,0.0
OMFix,global,levelUpperLimit,2050,0.0,0,0,0.0
OMFix,global,lifeTime,2000,0.0,0,0,0.0
OMFix,global,lifeTime,2020,0.0,0,0,0.0
OMFix,global,lifeTime,2030,0.0,0,0,0.0
OMFix,global,lifeTime,2040,0.0,0,0,0.0
OMFix,global,lifeTime,2050,0.0,0,0,0.0
