nodesData,years,storage_techs,unitsBuild,unitsUpperLimit,noExpansion
AKL,2020,Battery,0.0,30.0,1
AKL,2025,Battery,0.0,30.0,0
AKL,2030,Battery,0.0,30.0,0
AKL,2035,Battery,0.0,30.0,0
AKL,2040,Battery,0.0,30.0,0
AKL,2045,Battery,0.0,30.0,0
AKL,2050,Battery,0.0,30.0,0
BOP,2000,levelUpperLimit,0.0,3000.0,1
BOP,2000,lifeTime,0.0,3000.0,1
BOP,2020,Battery,0.0,30.0,1
BOP,2020,levelUpperLimit,0.0,3000.0,1
BOP,2020,lifeTime,0.0,3000.0,1
BOP,2025,Battery,0.0,30.0,0
BOP,2025,levelUpperLimit,0.0,3000.0,1
BOP,2025,lifeTime,0.0,3000.0,1
BOP,2030,Battery,0.0,30.0,0
BOP,2030,levelUpperLimit,0.0,3000.0,1
BOP,2030,lifeTime,0.0,3000.0,1
BOP,2035,Battery,0.0,30.0,0
BOP,2035,levelUpperLimit,0.0,3000.0,1
BOP,2035,lifeTime,0.0,3000.0,1
BOP,2040,Battery,0.0,30.0,0
BOP,2040,levelUpperLimit,0.0,3000.0,1
BOP,2040,lifeTime,0.0,3000.0,1
BOP,2045,Battery,0.0,30.0,0
BOP,2045,levelUpperLimit,0.0,3000.0,1
BOP,2045,lifeTime,0.0,3000.0,1
BOP,2050,Battery,0.0,30.0,0
BOP,2050,levelUpperLimit,0.0,3000.0,1
BOP,2050,lifeTime,0.0,3000.0,1
CAN,2000,levelUpperLimit,2517.2429,3000.0,1
CAN,2000,lifeTime,2517.2429,3000.0,1
CAN,2020,Battery,0.0,30.0,1
CAN,2020,levelUpperLimit,0.0,3000.0,1
CAN,2020,lifeTime,0.0,3000.0,1
CAN,2025,Battery,0.0,30.0,0
CAN,2025,levelUpperLimit,0.0,3000.0,1
CAN,2025,lifeTime,0.0,3000.0,1
CAN,2030,Battery,0.0,30.0,0
CAN,2030,levelUpperLimit,0.0,3000.0,1
CAN,2030,lifeTime,0.0,3000.0,1
CAN,2035,Battery,0.0,30.0,0
CAN,2035,levelUpperLimit,0.0,3000.0,1
CAN,2035,lifeTime,0.0,3000.0,1
CAN,2040,Battery,0.0,30.0,0
CAN,2040,levelUpperLimit,0.0,3000.0,1
CAN,2040,lifeTime,0.0,3000.0,1
CAN,2045,Battery,0.0,30.0,0
CAN,2045,levelUpperLimit,0.0,3000.0,1
CAN,2045,lifeTime,0.0,3000.0,1
CAN,2050,Battery,0.0,30.0,0
CAN,2050,levelUpperLimit,0.0,3000.0,1
CAN,2050,lifeTime,0.0,3000.0,1
CEN,2000,levelUpperLimit,0.0,3000.0,1
CEN,2000,lifeTime,0.0,3000.0,1
CEN,2020,Battery,0.0,30.0,1
CEN,2020,levelUpperLimit,0.0,3000.0,1
CEN,2020,lifeTime,0.0,3000.0,1
CEN,2025,Battery,0.0,30.0,0
CEN,2025,levelUpperLimit,0.0,3000.0,1
CEN,2025,lifeTime,0.0,3000.0,1
CEN,2030,Battery,0.0,30.0,0
CEN,2030,levelUpperLimit,0.0,3000.0,1
CEN,2030,lifeTime,0.0,3000.0,1
CEN,2035,Battery,0.0,30.0,0
CEN,2035,levelUpperLimit,0.0,3000.0,1
CEN,2035,lifeTime,0.0,3000.0,1
CEN,2040,Battery,0.0,30.0,0
CEN,2040,levelUpperLimit,0.0,3000.0,1
CEN,2040,lifeTime,0.0,3000.0,1
CEN,2045,Battery,0.0,30.0,0
