Technology,Base (GW),Dry-Year (GW),Difference
DIE,0.17300089786593673,0.173011,1.0102134063272317e-05
GT,0.012601129005991458,0.012610999999999994,9.870994008535569e-06
CCGT,0.38500135751045644,0.385011,9.642489543548738e-06
H2_FC,3.006023984128304e-05,3.95186e-05,9.458360158716957e-06
wind_offshore_foundation,1.673112435366108e-06,1.1e-05,9.326887564633892e-06
wind_offshore_floating,1.920510414878243e-06,1.1e-05,9.079489585121757e-06
OCGT,0.458001961070408,0.4580109999999999,9.038929591864697e-06
Battery,6.886065355236449,6.886074,8.644763551224344e-06
pv_decentral,5.078388826242892e-06,1.1e-05,5.921611173757108e-06
wind_onshore,3.3587551884827556,3.3587599999999997,4.8115172441853815e-06
pv_central_fixed,17.224123030017907,17.224127,3.96998209239996e-06
H2_CCGT,9.628786326255597e-06,1.276e-05,3.1312136737444028e-06
Coleridge,0.039,0.039,0.0
Ohau_C,0.212,0.212,0.0
Aviemore,0.22,0.22,0.0
Whakamaru,0.124,0.124,0.0
Waitaki,0.105,0.105,0.0
Waipapa,0.054,0.054,0.0
Tokaanu,0.24,0.24,0.0
Tekapo_B,0.154,0.154,0.0
Tekapo_A,0.027,0.027,0.0
Roxburgh,0.32,0.32,0.0
Cobb,0.032,0.032,0.0
Rangipo,0.12,0.12,0.0
Ohau_B,0.212,0.212,0.0
Ohau_A,0.264,0.264,0.0
Aratiatia,0.078,0.078,0.0
Matahina,0.08,0.08,0.0
Maraetai,0.352,0.352,0.0
Mangahao,0.037,0.037,0.0
Manapouri,0.842,0.842,0.0
Karapiro,0.096,0.096,0.0
Arapuni,0.192,0.192,0.0
BIO,0.0257,0.025699999999999994,-6.938893903907228e-18
Ohakuri,0.112,0.11199999999999999,-1.3877787807814457e-17
Atiamuri,0.084,0.08399999999999999,-1.3877787807814457e-17
Waikaremoana,0.14,0.13999999999999999,-2.7755575615628914e-17
Clyde_220kV,0.464,0.46399999999999997,-5.551115123125783e-17
Benmore,0.54,0.5399999999999999,-1.1102230246251565e-16
geoth,1.036,1.0359999999999998,-2.220446049250313e-16
