Technology,Commodity,Base (TWh),Dry-Year (TWh),Δ Scenario vs Base (%),Difference
pv_central_fixed,elec,20202.373230980964,20366.559203541994,0.8127063621874184,164.1859725610302
roxburgh,elec,735.1857750600025,874.5017817954057,18.94976908714439,139.31600673540322
manapouri,elec,3645.23332067944,3774.714021863656,3.5520552401864287,129.48070118421583
waipapa,elec,254.88400215698945,355.17865576211153,39.34913637433709,100.29465360512208
waikaremoana,elec,157.60836996817235,223.61877130470037,41.882548084126654,66.01040133652802
tekapo_b,elec,81.45591604382915,110.31358413052949,35.42734461567265,28.857668086700343
maraetai,elec,415.91115937002354,436.6182105097665,4.978719775422172,20.707051139742987
ohakuri,elec,323.55609527017424,338.07745273486336,4.488049422330791,14.521357464689117
bio,elec,181.134963641042,189.94110977526006,4.861648992112504,8.806146134218068
tekapo_a,elec,119.78325403345558,122.21234558350064,2.02790579505096,2.429091550045058
ocgt,elec,100.64398217850295,101.38305712174957,0.7343458866082939,0.7390749432466208
h2_fc,elec,0.11246252321694308,0.14866663187447857,32.19215399222088,0.03620410865753548
wind_offshore_floating,elec,0.004701383639712409,0.0306337276367097,551.5896166810929,0.02593234399699729
wind_offshore_foundation,elec,0.0031867309916518093,0.0257222928530339,707.1686289309603,0.022535561861382093
h2_ccgt,elec,0.03569589371279854,0.04806031788113127,34.6382255276033,0.012364424168332729
pv_decentral,elec,0.0038938396675912883,0.009813990807902014,152.03890364527783,0.005920151140310726
wholesale,elec,49888.13899999997,49888.13899999997,0.0,0.0
slack,elec,8.540638684180197e-06,1.5712104300269674e-06,-81.60312725865202,-6.96942825415323e-06
ccgt,elec,280.6304729860378,280.6280117578377,-0.000877035260589831,-0.0024612282000475716
h2_storage,elec,0.0,-0.07662642319453679,0.0,-0.07662642319453679
electrolyser,elec,-1485.926112195125,-1486.0949383904922,-0.011361681713626427,-0.1688261953672736
gt,elec,3.085031549549622,2.337560296870292,-24.228966241478204,-0.7474712526793299
karapiro,elec,496.8085305587149,494.25648875830007,-0.5136871940473284,-2.552041800414827
cobb,elec,98.99591123925909,93.66134638067003,-5.388671907566136,-5.3345648585890615
mangahao,elec,139.0505514472037,133.6247977266951,-3.902000865180824,-5.425753720508595
battery,elec,-1006.3164260751278,-1013.5133229867523,-0.7151723578332265,-7.196896911624549
ohau_a,elec,948.4025310683539,940.8022997478904,-0.8013718934197748,-7.600231320463536
aratiatia,elec,300.8131452371114,291.9238719334448,-2.9550814000032495,-8.889273303666641
atiamuri,elec,376.24957805654327,365.4914630461971,-2.8593028770731053,-10.75811501034616
hv,elec,-1089.540121316004,-1100.3733778199985,-0.994296244080446,-10.833256503994562
matahina,elec,199.70320801716983,187.60971977212927,-6.0557305839577715,-12.093488245040561
tokaanu,elec,566.9057371319096,552.7326549511607,-2.500077394251359,-14.173082180748906
coleridge,elec,208.98410587850427,187.24125962632138,-10.404066931684932,-21.742846252182886
wind_onshore,elec,8236.404757019072,8212.49017068031,-0.2903522476646386,-23.914586338762092
waitaki,elec,575.111427497263,551.1350455668216,-4.1689976557726185,-23.976381930441335
ohau_b,elec,690.0649437789084,663.4197473109448,-3.8612592493179214,-26.645196467963615
ohau_c,elec,641.3892079670906,610.6579019287483,-4.791366249480001,-30.731306038342268
arapuni,elec,491.1005650332424,459.8741249004007,-6.358461454982844,-31.226440132841674
aviemore,elec,856.0097791125379,814.3065106442178,-4.871821500865987,-41.70326846832006
whakamaru,elec,374.78071345466924,330.8858393781463,-11.712148598018016,-43.89487407652297
benmore,elec,1045.8113841305285,998.4520373237968,-4.52847879889025,-47.35934680673165
clyde_220kv,elec,1144.369337537553,1087.4624625730717,-4.972771735297737,-56.9068749644814
die,elec,1277.45781212682,1205.1012600345287,-5.664105022131891,-72.3565520922914
rangipo,elec,473.9498084190452,398.6058864412586,-15.897025516079735,-75.34392197778664
geoth,elec,7825.913102236752,7732.115712930252,-1.1985488221136962,-93.79738930650001
electrolyser,h2,1173.876783856304,1174.0096889800382,0.011321897286151556,0.13290512373419006
demand,h2,1173.6259999999957,1173.6259999999957,0.0,0.0
h2_ccgt,h2,-0.06154464433241123,-0.08286261703643297,-34.63822552760299,-0.021317972704021734
h2_storage,h2,0.0,-0.05255093083574312,0.0,-0.05255093083574312
h2_fc,h2,-0.18923921197215007,-0.2482756323039821,-31.19671642921463,-0.05903642033183204
