Technology,Commodity,Base (TWh),Dry-Year (TWh),Difference
pv_central_fixed,elec,20202.373230980964,20366.559203541994,164.1859725610302
Roxburgh,elec,735.1857750600025,874.5017817954057,139.31600673540322
Manapouri,elec,3645.23332067944,3774.714021863656,129.48070118421583
Waipapa,elec,254.88400215698945,355.17865576211153,100.29465360512208
Waikaremoana,elec,157.60836996817235,223.61877130470037,66.01040133652802
Tekapo_B,elec,81.45591604382915,110.31358413052949,28.857668086700343
Maraetai,elec,415.91115937002354,436.6182105097665,20.707051139742987
Ohakuri,elec,323.55609527017424,338.07745273486336,14.521357464689117
BIO,elec,181.134963641042,189.94110977526006,8.806146134218068
Tekapo_A,elec,119.78325403345558,122.21234558350064,2.429091550045058
OCGT,elec,100.64398217850295,101.38305712174957,0.7390749432466208
Electrolyser,h2,1173.876783856304,1174.0096889800382,0.13290512373419006
H2_FC,elec,0.11246252321694308,0.14866663187447857,0.03620410865753548
wind_offshore_floating,elec,0.004701383639712409,0.0306337276367097,0.02593234399699729
wind_offshore_foundation,elec,0.0031867309916518093,0.0257222928530339,0.022535561861382093
H2_CCGT,elec,0.03569589371279854,0.04806031788113127,0.012364424168332729
pv_decentral,elec,0.0038938396675912883,0.009813990807902014,0.005920151140310726
Demand,h2,-1173.6259999999957,-1173.6259999999957,0.0
Wholesale,elec,-49888.13899999997,-49888.13899999997,0.0
Slack,elec,8.540638684180197e-06,1.5712104300269674e-06,-6.96942825415323e-06
CCGT,elec,280.6304729860378,280.6280117578377,-0.0024612282000475716
H2_CCGT,h2,-0.06154464433241123,-0.08286261703643297,-0.021317972704021734
H2_storage,h2,0.0,-0.05255093083574312,-0.05255093083574312
H2_FC,h2,-0.18923921197215007,-0.2482756323039821,-0.05903642033183204
H2_storage,elec,0.0,-0.07662642319453679,-0.07662642319453679
Electrolyser,elec,-1485.926112195125,-1486.0949383904922,-0.1688261953672736
GT,elec,3.085031549549622,2.337560296870292,-0.7474712526793299
Karapiro,elec,496.8085305587149,494.25648875830007,-2.552041800414827
Cobb,elec,98.99591123925909,93.66134638067003,-5.3345648585890615
Mangahao,elec,139.0505514472037,133.6247977266951,-5.425753720508595
Battery,elec,-1006.3164260751278,-1013.5133229867523,-7.196896911624549
Ohau_A,elec,948.4025310683539,940.8022997478904,-7.600231320463536
Aratiatia,elec,300.8131452371114,291.9238719334448,-8.889273303666641
Atiamuri,elec,376.24957805654327,365.4914630461971,-10.75811501034616
HV,elec,-1089.540121316004,-1100.3733778199985,-10.833256503994562
Matahina,elec,199.70320801716983,187.60971977212927,-12.093488245040561
Tokaanu,elec,566.9057371319096,552.7326549511607,-14.173082180748906
Coleridge,elec,208.98410587850427,187.24125962632138,-21.742846252182886
wind_onshore,elec,8236.404757019072,8212.49017068031,-23.914586338762092
Waitaki,elec,575.111427497263,551.1350455668216,-23.976381930441335
Ohau_B,elec,690.0649437789084,663.4197473109448,-26.645196467963615
Ohau_C,elec,641.3892079670906,610.6579019287483,-30.731306038342268
Arapuni,elec,491.1005650332424,459.8741249004007,-31.226440132841674
Aviemore,elec,856.0097791125379,814.3065106442178,-41.70326846832006
Whakamaru,elec,374.78071345466924,330.8858393781463,-43.89487407652297
Benmore,elec,1045.8113841305285,998.4520373237968,-47.35934680673165
Clyde_220kV,elec,1144.369337537553,1087.4624625730717,-56.9068749644814
DIE,elec,1277.45781212682,1205.1012600345287,-72.3565520922914
Rangipo,elec,473.9498084190452,398.6058864412586,-75.34392197778664
geoth,elec,7825.913102236752,7732.115712930252,-93.79738930650001
