year,2020,2030,2040,2050,2060,2070,2080,2090,2100
Countrynumber,135,135,135,135,135,135,135,135,135
Countryname,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand
annual electricity consumption in TWh,26.05,37.91,50.95,64.67,78.84,90.08,99.66,106.14,109.86
synthetic peak in MW,"4,028.85","5,776.03","7,722.13","9,829.94","11,984.28","13,717.51","15,175.36","16,108.13","16,673.94"
Hour_1 in MW,"2,362.37","3,451.63","4,449.80","5,794.82","7,064.82","8,234.48","9,109.62","9,677.21","10,017.13"
Hour_2 in MW,"2,247.58","3,283.72","4,221.15","5,503.53","6,709.69","7,837.52","8,670.47","9,186.50","9,509.18"
Hour_3 in MW,"2,207.67","3,224.59","4,139.39","5,398.09","6,581.14","7,699.50","8,517.78","9,000.52","9,316.67"
Hour_4 in MW,"2,251.18","3,286.66","4,221.23","5,269.36","6,424.19","7,849.95","8,684.21","9,154.13","9,475.67"
Hour_5 in MW,"2,369.03","3,456.74","4,448.93","5,563.21","6,782.44","8,257.48","9,135.06","9,610.45","9,948.03"
Hour_6 in MW,"2,536.85","3,699.39","4,774.84","5,979.74","7,290.26","8,837.81","9,777.06","10,270.26","10,631.01"
Hour_7 in MW,"2,721.04","3,965.72","5,133.22","6,426.97","7,835.51","9,474.73","10,481.68","10,996.74","11,383.01"
Hour_8 in MW,"2,887.04","4,205.47","5,456.51","6,810.99","8,303.69","10,048.76","11,116.72","11,649.20","12,058.39"
Hour_9 in MW,"3,007.64","4,379.06","5,691.47","7,059.35","8,606.48","10,465.80","11,578.07","12,116.87","12,542.48"
Hour_10 in MW,"3,069.12","4,466.53","5,811.27","7,138.41","8,702.87","10,678.38","11,813.24","12,343.91","12,777.50"
Hour_11 in MW,"3,073.69","4,471.15","5,820.25","7,060.07","8,607.36","10,694.18","11,830.72","12,339.47","12,772.90"
Hour_12 in MW,"3,037.69","4,416.67","5,750.35","6,876.32","8,383.33","10,569.66","11,692.98","12,170.16","12,597.65"
