scenario,techs,2020,2025,2030,2035,2040,2045,2050
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Battery,2.173,2.173,2.174,2.174,2.178,2.177,2.179
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,CCGT,2.202,2.202,2.202,2.202,2.202,2.202,2.202
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,DAC,0.440,0.440,0.440,0.441,0.441,0.441,0.441
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.293,0.293,0.349,0.351,0.354,0.356,0.382
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.440,0.440,0.440,0.442,0.442,0.442,0.442
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,GT,2.202,2.202,2.202,2.202,2.202,2.202,2.202
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Geothermal,0.004,0.004,0.004,0.004,0.004,0.004,0.004
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,0.255,0.260,0.264,0.264,0.264
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,0.273,0.282,0.287,0.288,0.296,0.301
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.312,0.312,0.312,0.312,0.312,0.312,0.312
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Hydro,9.562,9.562,9.562,9.562,9.562,9.562,9.562
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.440,0.440,0.440,0.440,0.441,0.442,0.442
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,OCGT,2.201,2.201,2.201,2.201,2.201,2.201,2.201
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Total,37.065,37.353,37.680,37.702,37.734,37.743,37.774
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,9.673,9.680,9.680,9.683,9.693,9.693,9.693
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.015,0.015,0.015,0.015,0.015,0.015,0.015
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.017,0.017,0.017,0.017,0.017,0.017,0.017
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.037,0.037,0.037,0.037,0.037,0.037,0.037
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.056,0.056,0.056,0.056,0.056,0.056,0.056
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.072,0.072,0.072,0.072,0.072,0.072,0.072
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,0.038,0.040,0.047,0.053,0.056,0.054,0.054
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,0.066,0.071,0.069,0.069,0.072,0.074,0.072
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.098,0.098,0.098,0.098,0.098,0.098,0.098
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.127,0.127,0.127,0.127,0.127,0.127,0.127
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Battery,2.173,2.173,2.177,2.179,2.192,2.186,2.203
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,CCGT,2.202,2.202,2.202,2.202,2.202,2.202,2.202
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,DAC,0.440,0.440,0.440,0.441,0.441,0.441,0.441
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.293,0.293,0.348,0.351,0.355,0.352,0.379
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.440,0.440,0.440,0.442,0.444,0.443,0.442
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,GT,2.202,2.202,2.202,2.202,2.202,2.202,2.202
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Geothermal,0.004,0.004,0.004,0.004,0.004,0.004,0.004
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,0.255,0.260,0.264,0.264,0.264
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,0.270,0.281,0.285,0.287,0.294,0.298
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.312,0.312,0.312,0.312,0.312,0.312,0.318
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Hydro,9.562,9.562,9.562,9.562,9.562,9.562,9.562
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.440,0.440,0.440,0.441,0.442,0.441,0.441
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,OCGT,2.201,2.201,2.201,2.201,2.201,2.202,2.201
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,2.200,2.200,2.200,2.200,2.200,2.200,2.200
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Total,37.065,37.354,37.688,37.717,37.782,37.753,37.807
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,9.673,9.681,9.683,9.689,9.715,9.700,9.701
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.015,0.015,0.015,0.015,0.015,0.015,0.015
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.017,0.017,0.017,0.017,0.017,0.017,0.017
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.037,0.037,0.037,0.037,0.037,0.037,0.037
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.056,0.056,0.056,0.056,0.056,0.056,0.056
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.072,0.072,0.072,0.072,0.072,0.072,0.072
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,0.038,0.041,0.050,0.057,0.061,0.054,0.054
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,0.066,0.072,0.069,0.070,0.077,0.073,0.073
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.098,0.098,0.098,0.098,0.098,0.098,0.098
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.127,0.127,0.127,0.127,0.127,0.127,0.127
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Battery,2.173,2.173,2.173,2.173,2.177,2.176,2.179
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,CCGT,2.202,2.202,2.202,2.202,2.202,2.202,2.202
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,DAC,0.440,0.440,0.440,0.441,0.441,0.441,0.441
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.293,0.293,0.349,0.352,0.356,0.358,0.385
