scenario,techs,2020,2025,2030,2035,2040,2045,2050
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,8025.576,20121.192,25446.227,27887.486,29696.547,28824.889
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,CCGT,26937.824,10994.376,15584.396,15340.948,8237.695,8652.692,3123.625
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,674.483,3532.615,6578.408,8775.303,9172.863
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Elec_demand,83590.585,92942.325,108021.236,119642.761,129187.007,136114.994,140583.934
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Elec_slack,78953.142,0.098,0.000,0.002,0.001,0.001,0.001
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,1630.253,5072.008,17458.123,32447.994,45098.224,47872.175
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,155.866,811.021,1331.675,1456.526,1467.763
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,GT,27854.850,3315.479,4960.539,4519.911,1703.684,1862.897,806.606
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Geothermal,66177.810,86836.995,87504.959,87377.072,87134.968,87164.957,87559.844
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,6479.280,7407.490,5185.034,5498.504,3145.936
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,10690.713,12469.248,12527.136,10307.381,11431.911,11460.713
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,0.001,0.025,0.334,0.111,0.144,0.246
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,HV,0.000,55437.200,62545.921,77366.862,88131.150,87937.683,87850.815
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Hydro,99981.173,168830.795,160616.194,160494.967,162980.211,162940.555,167348.298
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,1.596,8.774,33.577,71.046,80.656
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,OCGT,9562.083,2967.603,4771.662,4519.861,1963.743,2153.556,653.059
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,47899.789,7760.603,16840.713,20159.308,13030.717,13034.973,24225.113
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,23406.720,23036.854,35196.829,32980.030,18278.040,19205.568,3165.726
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,39205.446,732.852,1786.813,1434.429,706.807,791.929,311.493
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,0.000,29750.882,39165.344,49600.213,77130.386,89670.762,97569.042
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.000,11953.753,13516.833,13128.444,15366.828,15275.701,16028.397
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.000,19126.034,20598.397,19653.192,26678.638,26261.796,27291.427
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.000,25092.459,26972.769,25436.153,35897.486,35143.218,36436.506
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.000,23473.798,25519.649,23884.571,34319.534,33637.633,34929.119
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.000,15467.494,17179.487,15928.623,23450.142,22929.444,24057.837
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,42167.733,100469.558,163455.893,229364.158,261332.196,288745.861,301130.156
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,11125.575,73194.809,79032.775,84473.928,103173.852,127987.415,129772.959
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.000,28197.838,31571.536,31365.621,33667.820,33456.135,35727.392
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.000,18928.078,20818.200,20830.771,24353.584,23419.930,23724.660
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,8177.212,24635.659,35255.474,53631.768,54793.329,57022.825
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,CCGT,26937.824,14166.167,18698.406,18535.797,18637.129,18822.146,5134.113
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,689.172,3546.065,9338.318,7690.490,6309.547
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Elec_demand,83590.585,101469.982,121765.211,140843.467,157574.771,172471.375,183284.964
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Elec_slack,78953.142,0.066,0.000,0.002,0.006,0.008,0.002
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,50.885,3084.678,15816.547,43000.061,34530.336,28376.352
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,143.368,716.526,1963.378,1819.136,1668.205
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,GT,27854.850,3722.956,5520.571,5410.004,5611.178,5015.106,895.731
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Geothermal,66105.828,86839.723,87474.983,87276.459,86429.572,87321.506,87636.601
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,5078.927,4053.168,7994.158,8371.613,5331.148
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,8516.248,7621.189,5568.590,8329.956,8983.155,6550.108
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,9.882,8.300,11.673,22.662,24.424,225.294
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,HV,0.000,57092.299,65861.688,86092.571,94873.978,97067.659,97749.120
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Hydro,99980.928,171491.811,160451.203,160467.187,161999.651,162903.800,167563.604
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,2.872,16.428,43.911,20.885,3.998
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,OCGT,9562.083,3802.501,5545.215,5251.259,5326.317,3702.072,1550.960
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,47899.789,7926.988,17170.611,23978.816,27553.927,32621.923,17532.263
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,23406.720,23589.644,33609.425,37589.499,38348.694,37317.303,2058.409
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,39205.446,742.311,1636.209,1517.675,2202.309,952.627,72.435
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,0.000,32969.600,47389.121,66148.407,127889.126,130576.179,135468.662
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.000,11864.870,13541.463,12918.108,13000.878,13648.379,16589.333
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.000,19903.905,21806.564,19929.856,21194.960,21822.749,27818.814
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.000,25674.938,28432.942,25918.180,27871.394,28657.845,37029.345
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.000,23806.101,26826.253,24604.198,26117.565,27148.661,35344.594
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.000,15727.196,17940.137,16722.173,17481.369,18494.542,24196.650
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,42421.235,108014.674,184346.050,264795.054,310141.107,316554.135,319334.539
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,11235.132,83241.107,86090.387,91878.861,131927.161,138086.489,141259.006
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.000,28905.455,30763.138,29780.183,28310.345,30828.276,33859.207
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.000,19234.087,19482.609,19938.834,18101.173,19546.692,21563.891
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,6817.616,13539.712,19632.337,24529.795,25559.375,24448.906
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,CCGT,26937.824,23363.612,22960.801,34365.904,37348.893,33455.417,1920.392
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,992.344,4410.325,7625.342,9852.848,10095.228
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Elec_demand,83590.585,89247.980,95771.159,106734.527,116329.990,122957.005,128335.695
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Elec_slack,78953.142,0.058,0.000,0.000,0.001,0.001,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,1917.257,6762.524,23797.549,43047.068,58790.529,63772.119
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,188.452,695.089,940.883,1032.423,853.340
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,GT,27854.849,7663.943,9832.351,13017.297,15250.859,10033.467,664.537
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Geothermal,68313.020,86739.468,87284.334,86878.573,86490.991,86423.627,86859.998
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,5773.574,6544.192,8404.516,9351.098,2728.618
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,9060.580,13520.280,10487.958,11399.580,12577.345,8030.984
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,0.003,0.002,0.066,0.474,0.205,0.131
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,HV,0.000,54645.244,57725.877,71498.050,82618.385,83439.013,83794.170
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Hydro,98236.870,166295.955,160775.195,160468.167,162448.403,162238.127,166633.284
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,5.539,35.744,85.648,126.374,148.065
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,OCGT,9562.084,6728.916,10276.234,13517.440,14838.281,13022.052,632.304
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,47899.785,8447.709,21481.900,20370.266,19660.722,20674.044,17688.106
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,23406.720,25129.941,34521.280,31793.348,33823.606,38366.442,1751.393
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,39205.446,615.816,4293.907,2054.636,1558.587,1390.195,249.705
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,0.000,27800.580,34427.306,46017.517,75154.447,87434.917,98922.365
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.000,12197.767,14872.452,13479.253,12413.280,13853.645,14060.805
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.000,18991.574,24410.439,19251.949,18443.528,19779.685,24490.180
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.000,23259.905,31882.287,22613.745,23173.854,26138.736,31869.749
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.000,21981.997,29279.075,21214.017,20742.425,23944.775,29567.679
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.000,14830.499,18476.321,14271.899,13970.743,16500.043,20269.816
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,41455.112,96589.903,142589.852,218010.072,260812.469,291417.718,307392.366
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,10104.425,67009.839,76274.029,81303.083,101034.458,132584.497,134596.969
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.000,24235.669,34546.326,29149.492,30116.251,32755.663,35117.682
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.000,16232.826,23466.331,19066.780,18380.036,22452.380,24911.804
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,8395.253,22508.850,26973.434,34189.199,34075.670,33525.595
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,CCGT,26937.824,11155.769,16508.237,17217.561,18581.551,13827.234,3783.420
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,747.197,4134.508,11855.730,11125.107,9247.590
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Elec_demand,83590.585,95205.467,114279.055,129856.807,142200.938,150585.454,157120.131
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Elec_slack,78953.142,0.013,0.000,0.001,0.002,0.001,0.001
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,2063.325,6199.490,22565.979,62159.965,63616.923,61694.603
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,157.368,810.221,2100.715,1575.909,1005.485
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,GT,27854.850,3317.865,5291.585,5309.605,5252.684,3645.841,982.240
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Geothermal,66177.810,86652.981,87445.587,87259.810,87075.198,87172.247,87436.654
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,5612.732,6766.459,6722.391,5426.643,16253.853
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,10433.866,13466.313,13738.232,12112.196,10394.403,26495.885
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,0.003,0.024,0.128,0.268,0.215,2.415
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,HV,0.000,55174.300,65706.791,85614.469,90377.400,91114.908,90499.083
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Hydro,99981.173,168588.380,160531.502,160436.618,162924.733,162886.331,167140.017
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,2.963,21.123,86.285,112.101,118.198
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,OCGT,9562.083,3004.928,5121.562,5445.338,5404.088,3765.631,805.233
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,47899.789,7810.082,18363.934,24136.703,31055.653,28790.913,25497.105
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,23406.720,23190.483,36503.531,38197.026,38839.092,32654.336,4319.394
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,39205.446,733.240,1778.345,1882.386,2379.203,1505.497,367.775
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,0.000,32531.359,43672.833,58448.322,109191.270,115294.527,117160.682
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.000,12146.783,13799.420,13225.435,13774.246,14367.126,15400.402
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.000,19922.890,22400.212,20537.931,22236.997,23839.240,26197.745
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.000,25831.672,29391.940,26823.173,29166.460,31636.526,35238.621
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.000,24012.471,27904.682,25455.300,27729.717,30226.527,33912.592
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.000,15854.509,18849.549,17281.725,18759.382,20705.770,23428.657
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,42167.733,103102.527,178146.307,255672.348,323573.735,335031.458,335955.985
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,11125.575,76304.237,81748.493,95558.265,155460.218,164811.363,154529.231
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.000,29167.383,31642.154,30531.546,32512.009,34388.014,18225.562
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.000,19425.707,19802.585,20234.637,20411.002,24246.351,10068.170
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,7513.509,20901.877,25448.868,30876.506,35538.890,33444.286
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,CCGT,26937.824,21750.995,22372.973,27997.544,28153.224,29509.761,481.650
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,895.161,4388.504,8133.035,10244.490,11137.018
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Elec_demand,83590.585,95498.572,115164.162,129758.973,141400.210,150862.134,157622.310
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Elec_slack,78953.142,0.000,0.000,0.000,0.000,0.002,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,1870.741,6477.828,22659.231,41769.458,53718.335,59368.592
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,193.118,870.801,1434.523,1597.943,1640.780
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,GT,27854.849,7068.163,9243.558,10681.339,12005.583,11601.871,74.725
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Geothermal,68313.020,86407.705,87031.232,86476.767,86272.176,86362.770,86884.731
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,H2_CCGT,0.000,0.000,5301.362,6986.220,7245.927,7282.417,2135.938
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,H2_FC,0.000,10489.199,15813.429,13864.377,13764.245,14050.911,13798.309
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,0.001,0.001,0.031,0.074,1.106,0.036
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,HV,0.000,55188.892,66672.529,86550.314,88037.364,88782.964,90708.040
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Hydro,98236.870,169010.112,160405.642,160083.049,162262.712,162212.084,166607.759
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,3.191,21.576,58.044,90.662,109.452
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,OCGT,9562.084,6204.836,10430.733,10661.837,12431.866,11383.950,66.290
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Thermal_Bio,47899.785,8544.356,19649.560,20661.193,19621.455,23503.409,3718.202
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Thermal_Coal,23406.720,24705.975,34046.768,32095.881,35430.598,45035.600,212.488
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Thermal_Diesel,39205.446,579.443,4518.168,2119.292,1759.159,1285.812,32.936
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,pv_central_fixed,0.000,32617.065,42996.725,56733.271,94200.725,110233.499,124741.285
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,pv_decentral,0.000,12479.002,14265.567,13122.621,12313.096,12484.503,13864.623
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_1,0.000,20213.308,23306.049,18556.882,18191.277,17879.928,26379.847
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_2,0.000,24607.182,29790.489,23335.892,21589.092,22914.548,34882.284
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_3,0.000,22832.340,26994.945,21777.487,19615.345,21838.390,33098.432
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_offshore_4,0.000,15417.896,16503.500,14847.946,13178.862,14397.490,22633.998
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_1,41455.112,103125.236,181436.922,255765.477,286143.373,317615.179,335446.143
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_2,10104.425,74636.783,83182.237,96489.751,128309.254,153340.429,157874.763
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_3,0.000,26273.924,33219.005,29993.180,30057.992,32697.562,35852.083
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,wind_onshore_4,0.000,17115.071,22182.598,19639.792,18698.848,21087.071,25964.916
