scenario,techs,2020,2025,2030,2035,2040,2045,2050
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,-0.002,-555.902,-755.270,-2334.501,-2924.285,-3132.407
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,-1348.966,-7065.230,-13156.816,-17550.606,-18345.726
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Elec_demand,-167181.171,-185884.651,-216042.472,-239285.522,-258374.013,-272229.988,-281167.868
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,-3260.507,-10144.017,-34916.245,-64895.987,-90196.449,-95744.349
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,-311.733,-1622.042,-2663.350,-2913.051,-2935.526
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,-0.003,-0.050,-0.668,-0.222,-0.287,-0.491
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,HV,0.000,-28717.443,-31117.451,-38412.179,-43316.179,-43764.148,-43997.373
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,-3.191,-17.548,-67.154,-142.093,-161.312
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,-4.459,-1866.685,-3428.500,-9967.292,-10367.645,-12986.014
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,-1378.345,-7092.130,-18676.636,-15380.980,-12619.095
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Elec_demand,-167181.171,-202939.965,-243530.422,-281686.934,-315149.542,-344942.750,-366569.929
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,-101.771,-6169.356,-31633.094,-86000.122,-69060.673,-56752.705
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,-286.737,-1433.052,-3926.755,-3638.272,-3336.409
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,-19.764,-16.600,-23.346,-45.323,-48.848,-450.587
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,HV,0.000,-29241.750,-32362.519,-42870.140,-47092.172,-47856.732,-48504.035
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,-5.743,-32.856,-87.822,-41.770,-7.996
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,-0.003,-214.288,-463.371,-1754.858,-2152.655,-2734.110
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,-1984.688,-8820.651,-15250.684,-19705.695,-20190.456
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Elec_demand,-167181.171,-178495.959,-191542.318,-213469.054,-232659.980,-245914.010,-256671.390
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,-3834.514,-13525.048,-47595.098,-86094.136,-117581.058,-127544.238
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,-376.903,-1390.178,-1881.766,-2064.846,-1706.680
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,-0.006,-0.003,-0.131,-0.947,-0.410,-0.262
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,HV,0.000,-28364.711,-28730.570,-35592.117,-40576.484,-41457.151,-41564.321
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,-11.079,-71.488,-171.296,-252.748,-296.130
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,-0.005,-737.798,-1084.754,-3948.687,-3917.743,-3426.239
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,-1494.395,-8269.016,-23711.461,-22250.214,-18495.181
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Elec_demand,-167181.171,-190410.935,-228558.110,-259713.614,-284401.877,-301170.908,-314240.263
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,-4126.651,-12398.980,-45131.958,-124319.929,-127233.845,-123389.205
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,-314.737,-1620.442,-4201.430,-3151.818,-2010.969
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,-0.007,-0.047,-0.256,-0.537,-0.431,-4.830
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,HV,0.000,-28410.331,-32542.237,-42384.678,-45067.209,-45567.693,-45418.958
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,-5.925,-42.245,-172.570,-224.202,-236.396
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Battery,0.000,-0.001,-701.245,-935.821,-3290.183,-4287.593,-4808.909
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,DAC,0.000,0.000,-1790.322,-8777.007,-16266.071,-20488.981,-22274.036
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Elec_demand,-167181.171,-190997.144,-230328.325,-259517.947,-282800.420,-301724.268,-315244.620
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Electrolyser,0.000,-3741.481,-12955.656,-45318.462,-83538.915,-107436.669,-118737.184
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,FTropschSyn,0.000,0.000,-386.235,-1741.602,-2869.046,-3195.886,-3281.560
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,H2_storage,0.000,-0.002,-0.002,-0.063,-0.148,-2.211,-0.072
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,HV,0.000,-28411.911,-32985.939,-42899.539,-43784.954,-44245.666,-45533.597
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,Methanizer,0.000,0.000,-6.382,-43.153,-116.087,-181.324,-218.903
