scenario	techs	2025	2030	2035	2040	2045	2050
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	DAC	440.000	440.106	440.501	440.782	440.894	440.901
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	Electrolyser	292.893	348.711	351.105	354.220	355.702	382.394
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	FTropschSyn	440.000	440.357	441.677	442.123	441.821	441.737
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	Methanizer	440.000	440.061	440.304	441.115	442.069	441.730
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	DAC	440.000	440.118	440.569	441.437	440.875	440.877
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	Electrolyser	292.613	348.212	350.545	355.091	352.159	378.560
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	FTropschSyn	440.000	440.359	441.641	444.034	442.501	442.487
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	Methanizer	440.000	440.121	440.684	441.879	441.126	441.126
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	DAC	440.000	440.156	440.614	440.878	440.981	441.017
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	Electrolyser	292.934	348.884	352.417	355.864	357.651	384.781
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	FTropschSyn	440.000	440.431	441.375	441.360	441.290	441.184
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	Methanizer	440.000	440.211	441.256	442.587	443.193	443.262
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	DAC	440.000	440.117	440.591	441.604	441.005	440.991
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	Electrolyser	292.973	348.977	352.532	362.536	357.539	383.418
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	FTropschSyn	440.000	440.360	441.677	443.888	442.408	442.408
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	Methanizer	440.000	440.113	440.750	442.897	442.762	442.352
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	DAC	440.000	440.141	440.619	440.968	441.006	441.142
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	Electrolyser	292.941	349.042	352.556	356.604	357.364	385.748
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	FTropschSyn	440.000	440.442	441.774	442.295	442.034	442.002
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	Methanizer	440.000	440.122	440.762	441.813	442.354	442.453
