scenario	indicator	2020	2025	2030	2035	2040	2045	2050
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	FuelCost	6.042	4.411	3.298	2.127	1.139	0.559	0.374
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	Invest	0.000	0.101	0.335	0.734	1.189	1.481	1.557
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	OMFix	0.084	0.169	0.233	0.357	0.470	0.561	0.587
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	SlackCost	131.589	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	Slack_CO2	0.000	0.000	0.000	0.000	0.000	0.000	0.024
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	SpillPenalty	0.001	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050	SystemCost	137.714	4.681	3.867	3.218	2.798	2.602	2.533
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	FuelCost	6.042	4.304	3.032	1.803	0.482	0.129	0.020
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	Invest	0.000	0.123	0.429	0.940	1.817	1.847	1.916
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	OMFix	0.084	0.187	0.269	0.424	0.674	0.679	0.693
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	SlackCost	131.589	0.000	-0.000	-0.000	-0.000	-0.001	-0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	Slack_CO2	0.000	0.000	0.000	0.000	0.000	0.000	0.094
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	SpillPenalty	0.001	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050	SystemCost	137.714	4.614	3.730	3.167	2.973	2.654	2.685
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	FuelCost	6.042	4.506	3.534	2.100	1.008	0.385	0.106
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	Invest	0.000	0.097	0.273	0.727	1.224	1.547	1.650
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	OMFix	0.084	0.160	0.211	0.352	0.474	0.572	0.605
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	SlackCost	131.589	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	Slack_CO2	0.000	0.000	0.000	0.000	0.000	0.000	0.044
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	SpillPenalty	0.001	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050	SystemCost	137.714	4.763	4.018	3.179	2.706	2.505	2.387
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	FuelCost	6.042	4.356	3.275	2.057	0.578	0.127	0.011
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	Invest	0.000	0.103	0.391	0.901	1.876	1.971	1.954
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	OMFix	0.084	0.179	0.257	0.413	0.695	0.723	0.718
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	SlackCost	131.589	0.000	0.000	0.000	0.000	0.001	0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	Slack_CO2	0.000	0.000	0.000	0.000	0.000	0.000	0.036
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	SpillPenalty	0.001	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050	SystemCost	137.714	4.638	3.922	3.372	3.150	2.821	2.704
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	FuelCost	6.042	4.391	3.244	2.188	1.202	0.428	0.109
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	Invest	0.000	0.103	0.408	0.911	1.463	1.780	1.927
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	OMFix	0.084	0.179	0.263	0.418	0.562	0.659	0.709
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	SlackCost	131.589	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	Slack_CO2	0.000	0.000	0.000	0.000	0.000	0.000	0.032
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	SpillPenalty	0.001	0.000	0.000	0.000	0.000	0.000	0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050	SystemCost	137.714	4.673	3.915	3.517	3.227	2.866	2.763
