scenario,year,Fuel,Invest,OMFix,Slack
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,2020,12.765,0.000,0.178,278.040
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,2025,6.077,0.139,0.233,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,2030,3.780,0.384,0.267,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,2035,2.159,0.745,0.363,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,2040,1.034,1.080,0.427,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,2045,0.473,1.253,0.474,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,2050,0.311,1.293,0.488,0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,2020,12.758,0.000,0.178,277.869
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,2025,5.697,0.163,0.248,0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,2030,3.318,0.469,0.295,-0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,2035,1.695,0.884,0.399,-0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,2040,0.374,1.412,0.524,-0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,2045,0.099,1.413,0.520,-0.001
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,2050,0.016,1.499,0.542,-0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,2020,12.802,0.000,0.179,278.831
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,2025,6.253,0.135,0.223,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,2030,4.015,0.310,0.239,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,2035,2.134,0.739,0.358,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,2040,0.897,1.088,0.422,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,2045,0.312,1.254,0.464,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,2050,0.089,1.385,0.507,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,2020,12.765,0.000,0.178,278.040
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,2025,5.896,0.140,0.242,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,2030,3.585,0.428,0.281,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,2035,1.933,0.846,0.388,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,2040,0.437,1.417,0.525,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,2045,0.095,1.464,0.537,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,2050,0.009,1.504,0.553,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,2020,12.802,0.000,0.179,278.831
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,2025,5.865,0.137,0.239,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,2030,3.460,0.435,0.280,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,2035,2.060,0.858,0.394,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,2040,1.008,1.228,0.472,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,2045,0.327,1.362,0.504,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,2050,0.085,1.504,0.553,0.000
