scenario,sign,techs,MtCO2
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,negative,DAC,-3.281
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,CCGT,0.003
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,GT,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,HeatDemand_e-CH4,1.329
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,OCGT,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Coal,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Diesel,0.000
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_REfuel,1.926
nz_case_BIO+_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_e-CH4,0.048
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,negative,DAC,-2.256
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,positive,CCGT,0.058
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,positive,GT,0.005
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,positive,OCGT,0.030
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Coal,0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Diesel,0.000
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_REfuel,2.189
nz_case_ELEC+_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_e-CH4,0.068
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,negative,DAC,-3.607
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,CCGT,0.004
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,GT,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,HeatDemand_e-CH4,2.462
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,OCGT,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Coal,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Diesel,0.000
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_REfuel,1.120
nz_case_GP_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_e-CH4,0.065
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,negative,DAC,-3.305
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,CCGT,0.004
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,GT,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,HeatDemand_e-CH4,1.949
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,OCGT,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Coal,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Diesel,0.000
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_REfuel,1.319
nz_case_H2+_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_e-CH4,0.068
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,negative,DAC,-3.991
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,CCGT,0.002
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,GT,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,HeatDemand_e-CH4,1.803
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,OCGT,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Coal,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,Thermal_Diesel,0.000
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_REfuel,2.153
nz_case_NT_2020-2025-2030-2035-2040-2045-2050,positive,TranspDemand_e-CH4,0.065
