,,,,fixed,lower,upper
AKL,2050,FuelImport,Gas_bio,,,548.3
AKL,2050,FuelImport,LF_bio,,,1636
AKL,2050,FuelImport,Wood,,,1.341e+04
AKL,2050,Heat,CH4,,,-580.1
AKL,2050,Heat,FuelService_Gas_bio,,,-248.6
AKL,2050,Heat,FuelService_Wood,,,-6704
AKL,2050,Transport,CH4,,,-59.52
AKL,2050,Transport,FuelService_Gas_bio,,,-25.51
AKL,2050,Transport,FuelService_LF_bio,,,-817.9
AKL,2050,Transport,H2,,,-5.106
AKL,2050,Transport,REfuel,,,-1909
BOP,2050,FuelImport,Gas_bio,,,241.7
BOP,2050,FuelImport,LF_bio,,,664.4
BOP,2050,FuelImport,Wood,,,2610
BOP,2050,Heat,CH4,,,-184
BOP,2050,Heat,FuelService_Gas_bio,,,-78.85
BOP,2050,Heat,FuelService_Wood,,,-1305
BOP,2050,Transport,CH4,,,-98.02
BOP,2050,Transport,FuelService_Gas_bio,,,-42.01
BOP,2050,Transport,FuelService_LF_bio,,,-332.2
BOP,2050,Transport,H2,,,-1.431
BOP,2050,Transport,REfuel,,,-775.1
CAN,2050,FuelImport,Gas_bio,,,1205
CAN,2050,FuelImport,LF_bio,,,971.9
CAN,2050,FuelImport,Wood,,,5357
CAN,2050,Heat,CH4,,,-1376
CAN,2050,Heat,FuelService_Gas_bio,,,-589.7
CAN,2050,Heat,FuelService_Wood,,,-2679
CAN,2050,Transport,CH4,,,-29.81
CAN,2050,Transport,FuelService_Gas_bio,,,-12.78
CAN,2050,Transport,FuelService_LF_bio,,,-486
CAN,2050,Transport,H2,,,-3.419
CAN,2050,Transport,REfuel,,,-1134
CEN,2050,FuelImport,Gas_bio,,,569.4
CEN,2050,FuelImport,LF_bio,,,264.9
CEN,2050,FuelImport,Wood,,,1984
CEN,2050,Heat,CH4,,,-664.3
CEN,2050,Heat,FuelService_Gas_bio,,,-284.7
CEN,2050,Heat,FuelService_Wood,,,-991.9
CEN,2050,Transport,FuelService_LF_bio,,,-132.4
CEN,2050,Transport,H2,,,-1.304
CEN,2050,Transport,REfuel,,,-309
HBY,2050,FuelImport,Gas_bio,,,184.1
HBY,2050,FuelImport,LF_bio,,,365.7
HBY,2050,FuelImport,Wood,,,1787
HBY,2050,Heat,CH4,,,-196.4
HBY,2050,Heat,FuelService_Gas_bio,,,-84.16
HBY,2050,Heat,FuelService_Wood,,,-893.6
HBY,2050,Transport,CH4,,,-18.44
HBY,2050,Transport,FuelService_Gas_bio,,,-7.903
HBY,2050,Transport,FuelService_LF_bio,,,-182.9
HBY,2050,Transport,H2,,,-1.124
HBY,2050,Transport,REfuel,,,-426.7
NEL,2050,FuelImport,Gas_bio,,,85.8
NEL,2050,FuelImport,LF_bio,,,420.2
NEL,2050,FuelImport,Wood,,,1560
NEL,2050,Heat,CH4,,,-96.05
NEL,2050,Heat,FuelService_Gas_bio,,,-41.17
NEL,2050,Heat,FuelService_Wood,,,-779.9
NEL,2050,Transport,CH4,,,-4.049
NEL,2050,Transport,FuelService_Gas_bio,,,-1.735
NEL,2050,Transport,FuelService_LF_bio,,,-210.1
NEL,2050,Transport,H2,,,-0.8924
NEL,2050,Transport,REfuel,,,-490.2
NIS,2050,FuelImport,Gas_bio,,,160.4
NIS,2050,FuelImport,LF_bio,,,148.8
NIS,2050,FuelImport,Wood,,,8206
NIS,2050,Heat,CH4,,,-187.1
NIS,2050,Heat,FuelService_Gas_bio,,,-80.19
NIS,2050,Heat,FuelService_Wood,,,-4103
NIS,2050,Transport,FuelService_LF_bio,,,-74.38
NIS,2050,Transport,H2,,,-0.9175
NIS,2050,Transport,REfuel,,,-173.5
OTG,2050,FuelImport,Gas_bio,,,692.1
OTG,2050,FuelImport,LF_bio,,,476.8
OTG,2050,FuelImport,Wood,,,2712
OTG,2050,Heat,CH4,,,-791.2
OTG,2050,Heat,FuelService_Gas_bio,,,-339.1
OTG,2050,Heat,FuelService_Wood,,,-1356
OTG,2050,Transport,CH4,,,-16.17
OTG,2050,Transport,FuelService_Gas_bio,,,-6.93
OTG,2050,Transport,FuelService_LF_bio,,,-238.4
OTG,2050,Transport,H2,,,-1.787
OTG,2050,Transport,REfuel,,,-556.2
TRN,2050,FuelImport,Gas_bio,,,1327
TRN,2050,FuelImport,LF_bio,,,158.2
TRN,2050,FuelImport,Wood,,,977.8
TRN,2050,Heat,CH4,,,-1549
TRN,2050,Heat,FuelService_Gas_bio,,,-663.7
TRN,2050,Heat,FuelService_Wood,,,-488.9
TRN,2050,Transport,FuelService_LF_bio,,,-79.1
TRN,2050,Transport,H2,,,-0.5958
TRN,2050,Transport,REfuel,,,-184.6
WEL,2050,FuelImport,Gas_bio,,,52.33
WEL,2050,FuelImport,LF_bio,,,748.1
WEL,2050,FuelImport,Wood,,,4177
WEL,2050,Heat,CH4,,,-53.83
WEL,2050,Heat,FuelService_Gas_bio,,,-23.07
WEL,2050,Heat,FuelService_Wood,,,-2089
WEL,2050,Transport,CH4,,,-7.221
WEL,2050,Transport,FuelService_Gas_bio,,,-3.095
WEL,2050,Transport,FuelService_LF_bio,,,-374.1
WEL,2050,Transport,H2,,,-1.273
WEL,2050,Transport,REfuel,,,-872.8
WTO,2050,FuelImport,Gas_bio,,,694.4
WTO,2050,FuelImport,LF_bio,,,435.1
WTO,2050,FuelImport,Wood,,,1.356e+04
WTO,2050,Heat,CH4,,,-810.1
WTO,2050,Heat,FuelService_Gas_bio,,,-347.2
WTO,2050,Heat,FuelService_Wood,,,-6778
WTO,2050,Transport,FuelService_LF_bio,,,-217.6
WTO,2050,Transport,H2,,,-2.197
WTO,2050,Transport,REfuel,,,-507.7
