,,,,,,perActivity
CO2_emission,global,horizon,BIO,2050,Powergen,0
CO2_emission,global,horizon,CCGT,1950,Powergen,0.3476
CO2_emission,global,horizon,CCGT,2030,Powergen,0.3304
CO2_emission,global,horizon,COAL,2050,Powergen,34.06
CO2_emission,global,horizon,DAC,2020,Capture,-1
CO2_emission,global,horizon,DAC,2030,Capture,-1
CO2_emission,global,horizon,DAC,2040,Capture,-1
CO2_emission,global,horizon,DAC,2050,Capture,-1
CO2_emission,global,horizon,DIE,2050,Powergen,1.018
CO2_emission,global,horizon,FuelConsumer,2020,Wood_cons,0
CO2_emission,global,horizon,FuelConsumer,2050,Wood_cons,0
CO2_emission,global,horizon,FuelImport,2020,Coal_fossil_imp,0.34
CO2_emission,global,horizon,FuelImport,2020,Gas_bio_imp,0
CO2_emission,global,horizon,FuelImport,2020,Gas_fossil_imp,0.2
CO2_emission,global,horizon,FuelImport,2020,LF_bio_imp,0
CO2_emission,global,horizon,FuelImport,2020,LF_fossil_imp,0.27
CO2_emission,global,horizon,FuelImport,2020,Wood_imp,0
CO2_emission,global,horizon,FuelImport,2050,Coal_fossil_imp,0.34
CO2_emission,global,horizon,FuelImport,2050,Gas_bio_imp,0
CO2_emission,global,horizon,FuelImport,2050,Gas_fossil_imp,0.2
CO2_emission,global,horizon,FuelImport,2050,LF_bio_imp,0
CO2_emission,global,horizon,FuelImport,2050,LF_fossil_imp,0.27
CO2_emission,global,horizon,FuelImport,2050,Wood_imp,0
CO2_emission,global,horizon,GT,1950,Powergen,0.4917
CO2_emission,global,horizon,GT,2030,Powergen,0.4689
CO2_emission,global,horizon,OCGT,1950,Powergen,0.4917
CO2_emission,global,horizon,OCGT,2030,Powergen,0.4689
FuelCost,global,horizon,BIO,2050,Powergen,300
FuelCost,global,horizon,CCGT,1950,Powergen,0.362
FuelCost,global,horizon,CCGT,2030,Powergen,0.5081
FuelCost,global,horizon,COAL,2050,Powergen,15
FuelCost,global,horizon,DIE,2050,Powergen,2.214
FuelCost,global,horizon,FuelConsumer,2020,Wood_cons,0.001426
FuelCost,global,horizon,FuelConsumer,2050,Wood_cons,0.001426
FuelCost,global,horizon,GT,1950,Powergen,0.5122
FuelCost,global,horizon,GT,2030,Powergen,0.7211
FuelCost,global,horizon,OCGT,1950,Powergen,0.5122
FuelCost,global,horizon,OCGT,2030,Powergen,0.7211
FuelImportCost,global,horizon,FuelImport,2020,Coal_fossil_imp,0.01121
FuelImportCost,global,horizon,FuelImport,2020,Gas_bio_imp,0.0359
FuelImportCost,global,horizon,FuelImport,2020,Gas_fossil_imp,0.0359
FuelImportCost,global,horizon,FuelImport,2020,LF_bio_imp,0.06888
FuelImportCost,global,horizon,FuelImport,2020,LF_fossil_imp,0.06888
FuelImportCost,global,horizon,FuelImport,2020,Wood_imp,0.001426
FuelImportCost,global,horizon,FuelImport,2050,Coal_fossil_imp,0.008834
FuelImportCost,global,horizon,FuelImport,2050,Gas_bio_imp,0.03596
FuelImportCost,global,horizon,FuelImport,2050,Gas_fossil_imp,0.03596
FuelImportCost,global,horizon,FuelImport,2050,LF_bio_imp,0.06921
FuelImportCost,global,horizon,FuelImport,2050,LF_fossil_imp,0.06921
FuelImportCost,global,horizon,FuelImport,2050,Wood_imp,0.001426
