,,,,fixed,lower,upper
AKL,2050,Transport,CH4,,,-85.03
AKL,2050,Transport,REfuel,,,-2110
BOP,2050,Transport,CH4,,,-140
BOP,2050,Transport,REfuel,,,-977
CAN,2050,Transport,CH4,,,-42.58
CAN,2050,Transport,REfuel,,,-1289
CEN,2050,Transport,REfuel,,,-344
HBY,2050,Transport,CH4,,,-26.34
HBY,2050,Transport,REfuel,,,-503.8
NEL,2050,FuelImport,Wood,,,0.07904
NEL,2050,Heat,FuelService_Wood,,,-0.03952
NEL,2050,Transport,CH4,,,-5.785
NEL,2050,Transport,REfuel,,,-561.1
NIS,2050,FuelImport,Wood,,,1.729
NIS,2050,Heat,FuelService_Wood,,,-0.8645
NIS,2050,Transport,REfuel,,,-190.5
OTG,2050,Transport,CH4,,,-23.1
OTG,2050,Transport,REfuel,,,-635.7
TRN,2050,Transport,REfuel,,,-204.7
WEL,2050,Transport,CH4,,,-10.32
WEL,2050,Transport,REfuel,,,-969.2
WTO,2050,FuelImport,Wood,,,2.492
WTO,2050,Heat,FuelService_Wood,,,-1.246
WTO,2050,Transport,REfuel,,,-556
