,,,,,perUnitBuild,perUnitDecom,perUnitTotal,useAnnuity,amorTime,interest
Invest,global,horizon,BIO,2050,2600,,,1,30,0.06
Invest,global,horizon,Battery,2020,117,,,1,20,0.06
Invest,global,horizon,Battery,2030,55,,,1,20,0.06
Invest,global,horizon,Battery,2040,37,,,1,20,0.06
Invest,global,horizon,Battery,2050,30,,,1,20,0.06
Invest,global,horizon,CCGT,1950,775,,,1,30,0.06
Invest,global,horizon,CCGT,2030,775,,,1,30,0.06
Invest,global,horizon,COAL,2050,1600,,,1,30,0.06
Invest,global,horizon,DAC,2020,7139,,,1,20,0.06
Invest,global,horizon,DAC,2030,7139,,,1,20,0.06
Invest,global,horizon,DAC,2040,7139,,,1,20,0.06
Invest,global,horizon,DAC,2050,7139,,,1,20,0.06
Invest,global,horizon,DIE,2050,900,,,1,30,0.06
Invest,global,horizon,Electrolyser,2020,446,,,1,30,0.06
Invest,global,horizon,Electrolyser,2050,291,,,1,30,0.06
Invest,global,horizon,FTropschSyn,2020,1017,,,1,30,0.06
Invest,global,horizon,FTropschSyn,2040,915,,,1,30,0.06
Invest,global,horizon,FTropschSyn,2050,915,,,1,30,0.06
Invest,global,horizon,GT,1950,900,,,1,30,0.06
Invest,global,horizon,GT,2030,830,,,1,30,0.06
Invest,global,horizon,H2_CCGT,2030,100,,,1,35,0.06
Invest,global,horizon,H2_CCGT,2035,100,,,1,35,0.06
Invest,global,horizon,H2_CCGT,2040,100,,,1,35,0.06
Invest,global,horizon,H2_CCGT,2045,100,,,1,35,0.06
Invest,global,horizon,H2_CCGT,2050,100,,,1,35,0.06
Invest,global,horizon,H2_FC,2020,100,,,1,35,0.06
Invest,global,horizon,H2_FC,2025,100,,,1,35,0.06
Invest,global,horizon,H2_FC,2030,100,,,1,35,0.06
Invest,global,horizon,H2_FC,2035,100,,,1,35,0.06
Invest,global,horizon,H2_FC,2040,100,,,1,35,0.06
Invest,global,horizon,H2_FC,2045,100,,,1,35,0.06
Invest,global,horizon,H2_FC,2050,100,,,1,35,0.06
Invest,global,horizon,H2_storage,2020,5.14,,,1,40,0.06
Invest,global,horizon,H2_storage,2035,5.14,,,1,40,0.06
Invest,global,horizon,H2_storage,2050,5.14,,,1,40,0.06
Invest,global,horizon,Hydro,1950,2560,,,1,20,0.06
Invest,global,horizon,Methanizer,2020,558,,,1,20,0.06
Invest,global,horizon,Methanizer,2030,309,,,1,25,0.06
Invest,global,horizon,Methanizer,2040,251,,,1,30,0.06
Invest,global,horizon,Methanizer,2050,211,,,1,30,0.06
Invest,global,horizon,OCGT,1950,475,,,1,30,0.06
Invest,global,horizon,OCGT,2030,475,,,1,30,0.06
Invest,global,horizon,geoth,1950,4970,,,1,100,0.06
Invest,global,horizon,pv_central_fixed,1950,560,,,1,35,0.06
Invest,global,horizon,pv_central_fixed,2030,380,,,1,40,0.06
Invest,global,horizon,pv_central_fixed,2040,320,,,1,40,0.06
Invest,global,horizon,pv_central_fixed,2050,290,,,1,40,0.06
Invest,global,horizon,pv_decentral,1950,870,,,1,35,0.06
Invest,global,horizon,pv_decentral,2030,570,,,1,40,0.06
Invest,global,horizon,pv_decentral,2040,460,,,1,40,0.06
Invest,global,horizon,pv_decentral,2050,410,,,1,40,0.06
Invest,global,horizon,wind_offshore_floating,1950,2544,,,1,27,0.06
Invest,global,horizon,wind_offshore_floating,2030,2744,,,1,30,0.06
Invest,global,horizon,wind_offshore_floating,2040,2602,,,1,30,0.06
Invest,global,horizon,wind_offshore_floating,2050,2556,,,1,30,0.06
Invest,global,horizon,wind_offshore_foundation,1950,2120,,,1,27,0.06
Invest,global,horizon,wind_offshore_foundation,2030,2287,,,1,30,0.06
Invest,global,horizon,wind_offshore_foundation,2040,2168,,,1,30,0.06
Invest,global,horizon,wind_offshore_foundation,2050,2130,,,1,30,0.06
Invest,global,horizon,wind_onshore,1950,1330,,,1,27,0.06
Invest,global,horizon,wind_onshore,2030,1040,,,1,30,0.06
Invest,global,horizon,wind_onshore,2040,980,,,1,30,0.06
Invest,global,horizon,wind_onshore,2050,960,,,1,30,0.06
OMFix,global,horizon,BIO,2050,,,85.8,,,
OMFix,global,horizon,Battery,2020,,,1.638,,,
OMFix,global,horizon,Battery,2030,,,0.77,,,
OMFix,global,horizon,Battery,2040,,,0.518,,,
OMFix,global,horizon,Battery,2050,,,0.42,,,
OMFix,global,horizon,CCGT,1950,,,14.96,,,
OMFix,global,horizon,CCGT,2030,,,14.96,,,
OMFix,global,horizon,COAL,2050,,,52.8,,,
OMFix,global,horizon,DAC,2020,,,,,,
OMFix,global,horizon,DAC,2030,,,,,,
OMFix,global,horizon,DAC,2040,,,,,,
OMFix,global,horizon,DAC,2050,,,,,,
OMFix,global,horizon,DIE,2050,,,29.7,,,
OMFix,global,horizon,Electrolyser,2020,,,15.61,,,
OMFix,global,horizon,Electrolyser,2050,,,10.19,,,
OMFix,global,horizon,FTropschSyn,2020,,,40.68,,,
OMFix,global,horizon,FTropschSyn,2040,,,36.6,,,
OMFix,global,horizon,FTropschSyn,2050,,,36.6,,,
OMFix,global,horizon,GT,1950,,,17.37,,,
