,,,,fixed,lower,upper
AKL,2050,FuelImport,Gas_bio,,,121.7
AKL,2050,FuelImport,LF_bio,,,310.2
AKL,2050,FuelImport,Wood,,,1.341e+04
AKL,2050,Heat,CH4,,,-1075
AKL,2050,Heat,FuelService_Gas_bio,,,-56.58
AKL,2050,Heat,FuelService_Wood,,,-6704
AKL,2050,Transport,CH4,,,-80.78
AKL,2050,Transport,FuelService_Gas_bio,,,-4.252
AKL,2050,Transport,FuelService_LF_bio,,,-155.1
AKL,2050,Transport,H2,,,-926.4
AKL,2050,Transport,REfuel,,,-1137
BOP,2050,FuelImport,Gas_bio,,,49.89
BOP,2050,FuelImport,LF_bio,,,108
BOP,2050,FuelImport,Wood,,,2610
BOP,2050,Heat,CH4,,,-340.9
BOP,2050,Heat,FuelService_Gas_bio,,,-17.94
BOP,2050,Heat,FuelService_Wood,,,-1305
BOP,2050,Transport,CH4,,,-133
BOP,2050,Transport,FuelService_Gas_bio,,,-7.001
BOP,2050,Transport,FuelService_LF_bio,,,-53.98
BOP,2050,Transport,H2,,,-438.5
BOP,2050,Transport,REfuel,,,-395.8
CAN,2050,FuelImport,Gas_bio,,,272.6
CAN,2050,FuelImport,LF_bio,,,180.2
CAN,2050,FuelImport,Wood,,,5357
CAN,2050,Heat,CH4,,,-2550
CAN,2050,Heat,FuelService_Gas_bio,,,-134.2
CAN,2050,Heat,FuelService_Wood,,,-2679
CAN,2050,Transport,CH4,,,-40.46
CAN,2050,Transport,FuelService_Gas_bio,,,-2.129
CAN,2050,Transport,FuelService_LF_bio,,,-90.09
CAN,2050,Transport,H2,,,-558.8
CAN,2050,Transport,REfuel,,,-660.6
CEN,2050,FuelImport,Gas_bio,,,129.6
CEN,2050,FuelImport,LF_bio,,,50.84
CEN,2050,FuelImport,Wood,,,1984
CEN,2050,Heat,CH4,,,-1231
CEN,2050,Heat,FuelService_Gas_bio,,,-64.79
CEN,2050,Heat,FuelService_Wood,,,-991.9
CEN,2050,Transport,FuelService_LF_bio,,,-25.42
CEN,2050,Transport,H2,,,-154.5
CEN,2050,Transport,REfuel,,,-186.4
HBY,2050,FuelImport,Gas_bio,,,40.94
HBY,2050,FuelImport,LF_bio,,,65.44
HBY,2050,FuelImport,Wood,,,1787
HBY,2050,Heat,CH4,,,-363.9
HBY,2050,Heat,FuelService_Gas_bio,,,-19.15
HBY,2050,Heat,FuelService_Wood,,,-893.6
HBY,2050,Transport,CH4,,,-25.03
HBY,2050,Transport,FuelService_Gas_bio,,,-1.317
HBY,2050,Transport,FuelService_LF_bio,,,-32.72
HBY,2050,Transport,H2,,,-214.6
HBY,2050,Transport,REfuel,,,-239.9
NEL,2050,FuelImport,Gas_bio,,,19.31
NEL,2050,FuelImport,LF_bio,,,76.68
NEL,2050,FuelImport,Wood,,,1513
NEL,2050,Heat,CH4,,,-178
NEL,2050,Heat,FuelService_Gas_bio,,,-9.368
NEL,2050,Heat,FuelService_Wood,,,-756.4
NEL,2050,Transport,CH4,,,-5.496
NEL,2050,Transport,FuelService_Gas_bio,,,-0.2892
NEL,2050,Transport,FuelService_LF_bio,,,-38.34
NEL,2050,Transport,H2,,,-217
NEL,2050,Transport,REfuel,,,-281.2
NIS,2050,FuelImport,Gas_bio,,,36.5
NIS,2050,FuelImport,LF_bio,,,29.5
NIS,2050,FuelImport,Wood,,,7177
NIS,2050,Heat,CH4,,,-346.7
NIS,2050,Heat,FuelService_Gas_bio,,,-18.25
NIS,2050,Heat,FuelService_Wood,,,-3588
NIS,2050,Transport,FuelService_LF_bio,,,-14.75
NIS,2050,Transport,H2,,,-92.06
NIS,2050,Transport,REfuel,,,-108.2
OTG,2050,FuelImport,Gas_bio,,,156.6
OTG,2050,FuelImport,LF_bio,,,88.27
OTG,2050,FuelImport,Wood,,,2712
OTG,2050,Heat,CH4,,,-1466
OTG,2050,Heat,FuelService_Gas_bio,,,-77.16
OTG,2050,Heat,FuelService_Wood,,,-1356
OTG,2050,Transport,CH4,,,-21.95
OTG,2050,Transport,FuelService_Gas_bio,,,-1.155
