,,,,,,perActivity
CO2_emission,global,horizon,BIO,2020,Powergen,0
CO2_emission,global,horizon,BIO,2050,Powergen,0
CO2_emission,global,horizon,CCGT,1950,Powergen,0.3476
CO2_emission,global,horizon,CCGT,2030,Powergen,0.3304
CO2_emission,global,horizon,COAL,2020,Powergen,34.06
CO2_emission,global,horizon,COAL,2050,Powergen,34.06
CO2_emission,global,horizon,DAC,2020,Capture,-1
CO2_emission,global,horizon,DAC,2030,Capture,-1
CO2_emission,global,horizon,DAC,2040,Capture,-1
CO2_emission,global,horizon,DAC,2050,Capture,-1
CO2_emission,global,horizon,DIE,2020,Powergen,1.018
CO2_emission,global,horizon,DIE,2050,Powergen,1.018
CO2_emission,global,horizon,FuelConsumer,2020,Coal_fossil_cons,0.34
CO2_emission,global,horizon,FuelConsumer,2020,Gas_bio_cons,0
CO2_emission,global,horizon,FuelConsumer,2020,Gas_fossil_cons,0.2
CO2_emission,global,horizon,FuelConsumer,2020,LF_bio_cons,0
CO2_emission,global,horizon,FuelConsumer,2020,LF_fossil_cons,0.27
CO2_emission,global,horizon,FuelConsumer,2020,Wood_cons,0
CO2_emission,global,horizon,FuelConsumer,2050,Coal_fossil_cons,0.34
CO2_emission,global,horizon,FuelConsumer,2050,Gas_bio_cons,0
CO2_emission,global,horizon,FuelConsumer,2050,Gas_fossil_cons,0.2
CO2_emission,global,horizon,FuelConsumer,2050,LF_bio_cons,0
CO2_emission,global,horizon,FuelConsumer,2050,LF_fossil_cons,0.27
CO2_emission,global,horizon,FuelConsumer,2050,Wood_cons,0
CO2_emission,global,horizon,GT,1950,Powergen,0.4917
CO2_emission,global,horizon,GT,2030,Powergen,0.4689
CO2_emission,global,horizon,OCGT,1950,Powergen,0.4917
CO2_emission,global,horizon,OCGT,2030,Powergen,0.4689
FuelCost,global,horizon,BIO,2020,Powergen,300
FuelCost,global,horizon,BIO,2050,Powergen,300
FuelCost,global,horizon,CCGT,1950,Powergen,0.362
FuelCost,global,horizon,CCGT,2030,Powergen,0.5081
FuelCost,global,horizon,COAL,2020,Powergen,15
FuelCost,global,horizon,COAL,2050,Powergen,15
FuelCost,global,horizon,DIE,2020,Powergen,2.214
FuelCost,global,horizon,DIE,2050,Powergen,2.214
FuelCost,global,horizon,FuelConsumer,2020,Coal_fossil_cons,0.01121
FuelCost,global,horizon,FuelConsumer,2020,Gas_bio_cons,0.0359
FuelCost,global,horizon,FuelConsumer,2020,Gas_fossil_cons,0.0359
FuelCost,global,horizon,FuelConsumer,2020,LF_bio_cons,0.06888
FuelCost,global,horizon,FuelConsumer,2020,LF_fossil_cons,0.06888
FuelCost,global,horizon,FuelConsumer,2020,Wood_cons,0.001426
FuelCost,global,horizon,FuelConsumer,2050,Coal_fossil_cons,0.008834
FuelCost,global,horizon,FuelConsumer,2050,Gas_bio_cons,0.03596
FuelCost,global,horizon,FuelConsumer,2050,Gas_fossil_cons,0.03596
FuelCost,global,horizon,FuelConsumer,2050,LF_bio_cons,0.06921
FuelCost,global,horizon,FuelConsumer,2050,LF_fossil_cons,0.06921
FuelCost,global,horizon,FuelConsumer,2050,Wood_cons,0.001426
FuelCost,global,horizon,GT,1950,Powergen,0.5122
FuelCost,global,horizon,GT,2030,Powergen,0.7211
FuelCost,global,horizon,OCGT,1950,Powergen,0.5122
FuelCost,global,horizon,OCGT,2030,Powergen,0.7211
