,,,,fixed,lower,upper
AKL,2020,FuelImport,Coal_fossil,,,522.1
AKL,2020,FuelImport,Gas_fossil,,,8005
AKL,2020,FuelImport,LF_bio,,,355.7
AKL,2020,FuelImport,LF_fossil,,,3.522e+04
AKL,2020,FuelImport,Wood,,,1291
AKL,2020,Heat,FuelService_Coal_fossil,,,-261.1
AKL,2020,Heat,FuelService_Gas_fossil,,,-4003
AKL,2020,Heat,FuelService_LF_bio,,,-1.002
AKL,2020,Heat,FuelService_LF_fossil,,,-99.18
AKL,2020,Heat,FuelService_Wood,,,-645.5
AKL,2020,Transport,FuelService_LF_bio,,,-176.9
AKL,2020,Transport,FuelService_LF_fossil,,,-1.751e+04
AKL,2020,Transport,H2,,,-0.01215
AKL,2050,FuelImport,Gas_bio,,,121.7
AKL,2050,FuelImport,LF_bio,,,310.2
AKL,2050,FuelImport,Wood,,,1.341e+04
AKL,2050,Heat,FuelService_Gas_bio,,,-56.58
AKL,2050,Heat,FuelService_Wood,,,-6704
AKL,2050,Transport,FuelService_Gas_bio,,,-4.252
AKL,2050,Transport,FuelService_LF_bio,,,-155.1
AKL,2050,Transport,H2,,,-926.4
BOP,2020,FuelImport,Coal_fossil,,,128.8
BOP,2020,FuelImport,Gas_fossil,,,1900
BOP,2020,FuelImport,LF_bio,,,86.81
BOP,2020,FuelImport,LF_fossil,,,8594
BOP,2020,FuelImport,Wood,,,251.3
BOP,2020,Heat,FuelService_Coal_fossil,,,-64.39
BOP,2020,Heat,FuelService_Gas_fossil,,,-950.2
BOP,2020,Heat,FuelService_LF_bio,,,-0.1711
BOP,2020,Heat,FuelService_LF_fossil,,,-16.94
BOP,2020,Heat,FuelService_Wood,,,-125.7
BOP,2020,Transport,FuelService_LF_bio,,,-43.23
BOP,2020,Transport,FuelService_LF_fossil,,,-4280
BOP,2020,Transport,H2,,,-0.003405
BOP,2050,FuelImport,Gas_bio,,,49.89
BOP,2050,FuelImport,LF_bio,,,108
BOP,2050,FuelImport,Wood,,,2610
BOP,2050,Heat,FuelService_Gas_bio,,,-17.94
BOP,2050,Heat,FuelService_Wood,,,-1305
BOP,2050,Transport,FuelService_Gas_bio,,,-7.001
BOP,2050,Transport,FuelService_LF_bio,,,-53.98
BOP,2050,Transport,H2,,,-438.5
CAN,2020,FuelImport,Coal_fossil,,,4719
CAN,2020,FuelImport,Gas_fossil,,,8706
CAN,2020,FuelImport,LF_bio,,,189.7
CAN,2020,FuelImport,LF_fossil,,,1.878e+04
CAN,2020,FuelImport,Wood,,,515.8
CAN,2020,Heat,FuelService_Coal_fossil,,,-308.6
CAN,2020,Heat,FuelService_Gas_fossil,,,-51.08
CAN,2020,Heat,FuelService_LF_bio,,,-1.887
CAN,2020,Heat,FuelService_LF_fossil,,,-186.8
CAN,2020,Heat,FuelService_Wood,,,-12.65
CAN,2020,Transport,FuelService_LF_bio,,,-88.39
CAN,2020,Transport,FuelService_LF_fossil,,,-8751
CAN,2020,Transport,H2,,,-0.007644
CAN,2050,FuelImport,Gas_bio,,,272.6
CAN,2050,FuelImport,LF_bio,,,180.2
CAN,2050,FuelImport,Wood,,,5357
CAN,2050,Heat,FuelService_Gas_bio,,,-134.2
CAN,2050,Heat,FuelService_Wood,,,-131.4
CAN,2050,Transport,FuelService_Gas_bio,,,-2.129
CAN,2050,Transport,FuelService_LF_bio,,,-87.73
CAN,2050,Transport,H2,,,-542.7
CEN,2020,FuelImport,Coal_fossil,,,76.48
CEN,2020,FuelImport,Gas_fossil,,,3969
CEN,2020,FuelImport,LF_bio,,,61.73
CEN,2020,FuelImport,LF_fossil,,,6111
CEN,2020,FuelImport,Wood,,,191
CEN,2020,Heat,FuelService_Coal_fossil,,,-38.24
CEN,2020,Heat,FuelService_Gas_fossil,,,-1985
CEN,2020,Heat,FuelService_LF_bio,,,-0.151
CEN,2020,Heat,FuelService_LF_fossil,,,-14.95
CEN,2020,Heat,FuelService_Wood,,,-95.5
CEN,2020,Transport,FuelService_LF_bio,,,-30.71
CEN,2020,Transport,FuelService_LF_fossil,,,-3041
CEN,2020,Transport,H2,,,-0.003103
CEN,2050,FuelImport,Gas_bio,,,129.6
CEN,2050,FuelImport,LF_bio,,,50.84
CEN,2050,FuelImport,Wood,,,1984
CEN,2050,Heat,FuelService_Gas_bio,,,-64.79
CEN,2050,Heat,FuelService_Wood,,,-991.9
CEN,2050,Transport,FuelService_LF_bio,,,-25.42
CEN,2050,Transport,H2,,,-154.5
HBY,2020,FuelImport,Coal_fossil,,,73.37
HBY,2020,FuelImport,Gas_fossil,,,1640
HBY,2020,FuelImport,LF_bio,,,57.7
HBY,2020,FuelImport,LF_fossil,,,5713
HBY,2020,FuelImport,Wood,,,172.1
HBY,2020,Heat,FuelService_Coal_fossil,,,-28.98
HBY,2020,Heat,FuelService_Gas_fossil,,,-706.9
HBY,2020,Heat,FuelService_LF_bio,,,-0.4257
HBY,2020,Heat,FuelService_LF_fossil,,,-42.15
HBY,2020,Heat,FuelService_Wood,,,-66.8
HBY,2020,Transport,FuelService_LF_bio,,,-22.37
HBY,2020,Transport,FuelService_LF_fossil,,,-2215
HBY,2020,Transport,H2,,,-0.002043
HBY,2050,FuelImport,Gas_bio,,,40.94
HBY,2050,FuelImport,LF_bio,,,65.44
HBY,2050,FuelImport,Wood,,,1787
HBY,2050,Heat,FuelService_Gas_bio,,,-17.71
HBY,2050,Heat,FuelService_Wood,,,-693.8
HBY,2050,Transport,FuelService_Gas_bio,,,-1.317
HBY,2050,Transport,FuelService_LF_bio,,,-25.24
HBY,2050,Transport,H2,,,-170.8
NEL,2020,FuelImport,Coal_fossil,,,308.4
NEL,2020,FuelImport,Gas_fossil,,,949.8
NEL,2020,FuelImport,LF_bio,,,53.51
NEL,2020,FuelImport,LF_fossil,,,5298
NEL,2020,FuelImport,Wood,,,362.3
NEL,2020,Heat,FuelService_Coal_fossil,,,-51.87
NEL,2020,Heat,FuelService_Gas_fossil,,,-163.1
NEL,2020,Heat,FuelService_LF_bio,,,-0.3814
NEL,2020,Heat,FuelService_LF_fossil,,,-37.76
NEL,2020,Heat,FuelService_Wood,,,-61.57
NEL,2020,Transport,FuelService_LF_bio,,,-8.268
NEL,2020,Transport,FuelService_LF_fossil,,,-818.5
NEL,2020,Transport,H2,,,-0.0007407
NEL,2050,FuelImport,Gas_bio,,,19.31
NEL,2050,FuelImport,LF_bio,,,76.68
NEL,2050,FuelImport,Wood,,,1513
NEL,2050,Heat,FuelService_Gas_bio,,,-3.123
NEL,2050,Heat,FuelService_Wood,,,-264.4
NEL,2050,Transport,FuelService_Gas_bio,,,-0.2892
NEL,2050,Transport,FuelService_LF_bio,,,-13.42
NEL,2050,Transport,H2,,,-74.56
NIS,2020,FuelImport,Coal_fossil,,,1304
NIS,2020,FuelImport,Gas_fossil,,,1489
NIS,2020,FuelImport,LF_bio,,,43.65
NIS,2020,FuelImport,LF_fossil,,,4322
