,,,,coefficient,constant,minLoad,maxLoad,delay
BIO,1950,Powergen,Elec,1,,,,
BIO,2030,Powergen,Elec,1,,,,
BIO,2050,Powergen,Elec,1,,,,
Battery,2020,Charge,Elec,-1,,,,
Battery,2020,Charge,Elec_battery,0.975,,,,
Battery,2020,Discharge,Elec,1,,,,
Battery,2020,Discharge,Elec_battery,-1.025,,,,
Battery,2030,Charge,Elec,-1,,,,
Battery,2030,Charge,Elec_battery,0.975,,,,
Battery,2030,Discharge,Elec,1,,,,
Battery,2030,Discharge,Elec_battery,-1.025,,,,
Battery,2040,Charge,Elec,-1,,,,
Battery,2040,Charge,Elec_battery,0.975,,,,
Battery,2040,Discharge,Elec,1,,,,
Battery,2040,Discharge,Elec_battery,-1.025,,,,
Battery,2050,Charge,Elec,-1,,,,
Battery,2050,Charge,Elec_battery,0.975,,,,
Battery,2050,Discharge,Elec,1,,,,
Battery,2050,Discharge,Elec_battery,-1.025,,,,
CCGT,1950,Powergen,Elec,1,,,,
CCGT,2030,Powergen,Elec,1,,,,
COAL,1950,Powergen,Elec,1,,,,
COAL,2030,Powergen,Elec,1,,,,
COAL,2050,Powergen,Elec,1,,,,
DAC,2020,Capture,CO2_feed,1,,,,
DAC,2020,Capture,Elec,-1.535,,,,
DAC,2030,Capture,CO2_feed,1,,,,
DAC,2030,Capture,Elec,-1.458,,,,
DAC,2040,Capture,CO2_feed,1,,,,
DAC,2040,Capture,Elec,-1.385,,,,
DAC,2050,Capture,CO2_feed,1,,,,
DAC,2050,Capture,Elec,-1.316,,,,
DIE,1950,Powergen,Elec,1,,,,
DIE,2030,Powergen,Elec,1,,,,
DIE,2050,Powergen,Elec,1,,,,
Electrolyser,2020,Electrolysis,Elec,-1,,,,
Electrolyser,2020,Electrolysis,H2,0.7,,,,
Electrolyser,2050,Electrolysis,Elec,-1,,,,
Electrolyser,2050,Electrolysis,H2,0.7,,,,
FTropschSyn,2020,Synthesis,CO2_feed,-0.35,,,,
FTropschSyn,2020,Synthesis,Elec,-0.11,,,,
FTropschSyn,2020,Synthesis,H2,-1.52,,,,
FTropschSyn,2020,Synthesis,REfuel,1,,,,
FTropschSyn,2040,Synthesis,CO2_feed,-0.35,,,,
FTropschSyn,2040,Synthesis,Elec,-0.11,,,,
FTropschSyn,2040,Synthesis,H2,-1.52,,,,
FTropschSyn,2040,Synthesis,REfuel,1,,,,
FTropschSyn,2050,Synthesis,CO2_feed,-0.35,,,,
FTropschSyn,2050,Synthesis,Elec,-0.11,,,,
FTropschSyn,2050,Synthesis,H2,-1.52,,,,
FTropschSyn,2050,Synthesis,REfuel,1,,,,
FuelConsumer,2020,Gas_bio_cons,FuelService_Gas_bio,1,,,,
FuelConsumer,2020,Gas_bio_cons,FuelService_LF_bio,,,,,
FuelConsumer,2020,Gas_bio_cons,FuelService_Wood,,,,,
FuelConsumer,2020,Gas_bio_cons,Gas_bio,-1,,,,
FuelConsumer,2020,Gas_bio_cons,LF_bio,,,,,
FuelConsumer,2020,Gas_bio_cons,Wood,,,,,
FuelConsumer,2020,LF_bio_cons,FuelService_Gas_bio,,,,,
FuelConsumer,2020,LF_bio_cons,FuelService_LF_bio,1,,,,
FuelConsumer,2020,LF_bio_cons,FuelService_Wood,,,,,
FuelConsumer,2020,LF_bio_cons,Gas_bio,,,,,
FuelConsumer,2020,LF_bio_cons,LF_bio,-1,,,,
FuelConsumer,2020,LF_bio_cons,Wood,,,,,
FuelConsumer,2020,Wood_cons,FuelService_Gas_bio,,,,,
FuelConsumer,2020,Wood_cons,FuelService_LF_bio,,,,,
FuelConsumer,2020,Wood_cons,FuelService_Wood,1,,,,
FuelConsumer,2020,Wood_cons,Gas_bio,,,,,
FuelConsumer,2020,Wood_cons,LF_bio,,,,,
FuelConsumer,2020,Wood_cons,Wood,-1,,,,
FuelConsumer,2050,Gas_bio_cons,FuelService_Gas_bio,1,,,,
FuelConsumer,2050,Gas_bio_cons,FuelService_LF_bio,,,,,
FuelConsumer,2050,Gas_bio_cons,FuelService_Wood,,,,,
FuelConsumer,2050,Gas_bio_cons,Gas_bio,-1,,,,
FuelConsumer,2050,Gas_bio_cons,LF_bio,,,,,
FuelConsumer,2050,Gas_bio_cons,Wood,,,,,
FuelConsumer,2050,LF_bio_cons,FuelService_Gas_bio,,,,,
FuelConsumer,2050,LF_bio_cons,FuelService_LF_bio,1,,,,
FuelConsumer,2050,LF_bio_cons,FuelService_Wood,,,,,
FuelConsumer,2050,LF_bio_cons,Gas_bio,,,,,
FuelConsumer,2050,LF_bio_cons,LF_bio,-1,,,,
FuelConsumer,2050,LF_bio_cons,Wood,,,,,
FuelConsumer,2050,Wood_cons,FuelService_Gas_bio,,,,,
FuelConsumer,2050,Wood_cons,FuelService_LF_bio,,,,,
FuelConsumer,2050,Wood_cons,FuelService_Wood,1,,,,
FuelConsumer,2050,Wood_cons,Gas_bio,,,,,
FuelConsumer,2050,Wood_cons,LF_bio,,,,,
FuelConsumer,2050,Wood_cons,Wood,-1,,,,
FuelImport,2020,Coal_fossil_imp,Coal_fossil,1,,,,
FuelImport,2020,Coal_fossil_imp,Gas_bio,,,,,
FuelImport,2020,Coal_fossil_imp,Gas_fossil,,,,,
FuelImport,2020,Coal_fossil_imp,LF_bio,,,,,
FuelImport,2020,Coal_fossil_imp,LF_fossil,,,,,
FuelImport,2020,Coal_fossil_imp,Wood,,,,,
FuelImport,2020,Gas_bio_imp,Coal_fossil,,,,,
FuelImport,2020,Gas_bio_imp,Gas_bio,1,,,,
FuelImport,2020,Gas_bio_imp,Gas_fossil,,,,,
FuelImport,2020,Gas_bio_imp,LF_bio,,,,,
FuelImport,2020,Gas_bio_imp,LF_fossil,,,,,
FuelImport,2020,Gas_bio_imp,Wood,,,,,
FuelImport,2020,Gas_fossil_imp,Coal_fossil,,,,,
FuelImport,2020,Gas_fossil_imp,Gas_bio,,,,,
FuelImport,2020,Gas_fossil_imp,Gas_fossil,1,,,,
FuelImport,2020,Gas_fossil_imp,LF_bio,,,,,
FuelImport,2020,Gas_fossil_imp,LF_fossil,,,,,
FuelImport,2020,Gas_fossil_imp,Wood,,,,,
FuelImport,2020,LF_bio_imp,Coal_fossil,,,,,
FuelImport,2020,LF_bio_imp,Gas_bio,,,,,
FuelImport,2020,LF_bio_imp,Gas_fossil,,,,,
FuelImport,2020,LF_bio_imp,LF_bio,1,,,,
FuelImport,2020,LF_bio_imp,LF_fossil,,,,,
FuelImport,2020,LF_bio_imp,Wood,,,,,
FuelImport,2020,LF_fossil_imp,Coal_fossil,,,,,
FuelImport,2020,LF_fossil_imp,Gas_bio,,,,,
FuelImport,2020,LF_fossil_imp,Gas_fossil,,,,,
FuelImport,2020,LF_fossil_imp,LF_bio,,,,,
FuelImport,2020,LF_fossil_imp,LF_fossil,1,,,,
FuelImport,2020,LF_fossil_imp,Wood,,,,,
FuelImport,2020,Wood_imp,Coal_fossil,,,,,
FuelImport,2020,Wood_imp,Gas_bio,,,,,
FuelImport,2020,Wood_imp,Gas_fossil,,,,,
FuelImport,2020,Wood_imp,LF_bio,,,,,
FuelImport,2020,Wood_imp,LF_fossil,,,,,
FuelImport,2020,Wood_imp,Wood,1,,,,
FuelImport,2050,Coal_fossil_imp,Coal_fossil,1,,,,
FuelImport,2050,Coal_fossil_imp,Gas_bio,,,,,
FuelImport,2050,Coal_fossil_imp,Gas_fossil,,,,,
FuelImport,2050,Coal_fossil_imp,LF_bio,,,,,
FuelImport,2050,Coal_fossil_imp,LF_fossil,,,,,
FuelImport,2050,Coal_fossil_imp,Wood,,,,,
FuelImport,2050,Gas_bio_imp,Coal_fossil,,,,,
FuelImport,2050,Gas_bio_imp,Gas_bio,1,,,,
FuelImport,2050,Gas_bio_imp,Gas_fossil,,,,,
FuelImport,2050,Gas_bio_imp,LF_bio,,,,,
FuelImport,2050,Gas_bio_imp,LF_fossil,,,,,
FuelImport,2050,Gas_bio_imp,Wood,,,,,
FuelImport,2050,Gas_fossil_imp,Coal_fossil,,,,,
FuelImport,2050,Gas_fossil_imp,Gas_bio,,,,,
FuelImport,2050,Gas_fossil_imp,Gas_fossil,1,,,,
FuelImport,2050,Gas_fossil_imp,LF_bio,,,,,
FuelImport,2050,Gas_fossil_imp,LF_fossil,,,,,
FuelImport,2050,Gas_fossil_imp,Wood,,,,,
FuelImport,2050,LF_bio_imp,Coal_fossil,,,,,
FuelImport,2050,LF_bio_imp,Gas_bio,,,,,
FuelImport,2050,LF_bio_imp,Gas_fossil,,,,,
FuelImport,2050,LF_bio_imp,LF_bio,1,,,,
FuelImport,2050,LF_bio_imp,LF_fossil,,,,,
FuelImport,2050,LF_bio_imp,Wood,,,,,
FuelImport,2050,LF_fossil_imp,Coal_fossil,,,,,
FuelImport,2050,LF_fossil_imp,Gas_bio,,,,,
FuelImport,2050,LF_fossil_imp,Gas_fossil,,,,,
FuelImport,2050,LF_fossil_imp,LF_bio,,,,,
FuelImport,2050,LF_fossil_imp,LF_fossil,1,,,,
FuelImport,2050,LF_fossil_imp,Wood,,,,,
FuelImport,2050,Wood_imp,Coal_fossil,,,,,
FuelImport,2050,Wood_imp,Gas_bio,,,,,
FuelImport,2050,Wood_imp,Gas_fossil,,,,,
FuelImport,2050,Wood_imp,LF_bio,,,,,
FuelImport,2050,Wood_imp,LF_fossil,,,,,
FuelImport,2050,Wood_imp,Wood,1,,,,
GT,1950,Powergen,Elec,1,,,,
GT,2030,Powergen,Elec,1,,,,
H2_CCGT,2030,Powergen,Elec,0.58,,,,
H2_CCGT,2030,Powergen,H2,-1,,,,
H2_CCGT,2035,Powergen,Elec,0.59,,,,
H2_CCGT,2035,Powergen,H2,-1,,,,
H2_CCGT,2040,Powergen,Elec,0.6,,,,
H2_CCGT,2040,Powergen,H2,-1,,,,
H2_CCGT,2045,Powergen,Elec,0.6,,,,
H2_CCGT,2045,Powergen,H2,-1,,,,
H2_CCGT,2050,Powergen,Elec,0.6,,,,
H2_CCGT,2050,Powergen,H2,-1,,,,
H2_FC,2020,Powergen,Elec,0.579,,,,
H2_FC,2020,Powergen,H2,-1,,,,
H2_FC,2025,Powergen,Elec,0.6134,,,,
H2_FC,2025,Powergen,H2,-1,,,,
H2_FC,2030,Powergen,Elec,0.6383,,,,
H2_FC,2030,Powergen,H2,-1,,,,
H2_FC,2035,Powergen,Elec,0.6477,,,,
H2_FC,2035,Powergen,H2,-1,,,,
H2_FC,2040,Powergen,Elec,0.6514,,,,
H2_FC,2040,Powergen,H2,-1,,,,
H2_FC,2045,Powergen,Elec,0.6686,,,,
H2_FC,2045,Powergen,H2,-1,,,,
H2_FC,2050,Powergen,Elec,0.6737,,,,
H2_FC,2050,Powergen,H2,-1,,,,
