,,,,fixed,lower,upper
AKL,2050,FuelImport,Gas_bio,,,91.38
AKL,2050,FuelImport,LF_bio,,,565.7
AKL,2050,Heat,CH4,,,-787.3
AKL,2050,Heat,FuelService_Gas_bio,,,-41.44
AKL,2050,Transport,CH4,,,-80.78
AKL,2050,Transport,FuelService_Gas_bio,,,-4.252
AKL,2050,Transport,FuelService_LF_bio,,,-282.9
AKL,2050,Transport,H2,,,-5.106
AKL,2050,Transport,REfuel,,,-2074
BOP,2050,FuelImport,Gas_bio,,,40.29
BOP,2050,FuelImport,LF_bio,,,246.7
BOP,2050,Heat,CH4,,,-249.7
BOP,2050,Heat,FuelService_Gas_bio,,,-13.14
BOP,2050,Transport,CH4,,,-133
BOP,2050,Transport,FuelService_Gas_bio,,,-7.001
BOP,2050,Transport,FuelService_LF_bio,,,-123.3
BOP,2050,Transport,H2,,,-1.431
BOP,2050,Transport,REfuel,,,-904.5
CAN,2050,FuelImport,Gas_bio,,,200.8
CAN,2050,FuelImport,LF_bio,,,345.3
CAN,2050,Heat,CH4,,,-1867
CAN,2050,Heat,FuelService_Gas_bio,,,-98.28
CAN,2050,Transport,CH4,,,-40.46
CAN,2050,Transport,FuelService_Gas_bio,,,-2.129
CAN,2050,Transport,FuelService_LF_bio,,,-172.7
CAN,2050,Transport,H2,,,-3.419
CAN,2050,Transport,REfuel,,,-1266
CEN,2050,FuelImport,Gas_bio,,,94.91
CEN,2050,FuelImport,LF_bio,,,91.64
CEN,2050,Heat,CH4,,,-901.6
CEN,2050,Heat,FuelService_Gas_bio,,,-47.45
CEN,2050,Transport,FuelService_LF_bio,,,-45.82
CEN,2050,Transport,H2,,,-1.304
CEN,2050,Transport,REfuel,,,-336
HBY,2050,FuelImport,Gas_bio,,,30.69
HBY,2050,FuelImport,LF_bio,,,134.4
HBY,2050,Heat,CH4,,,-266.5
HBY,2050,Heat,FuelService_Gas_bio,,,-14.03
HBY,2050,Transport,CH4,,,-25.03
HBY,2050,Transport,FuelService_Gas_bio,,,-1.317
HBY,2050,Transport,FuelService_LF_bio,,,-67.18
HBY,2050,Transport,H2,,,-1.124
HBY,2050,Transport,REfuel,,,-492.6
NEL,2050,FuelImport,Gas_bio,,,14.3
NEL,2050,FuelImport,LF_bio,,,157.6
NEL,2050,FuelImport,Wood,,,258.9
NEL,2050,Heat,CH4,,,-130.4
NEL,2050,Heat,FuelService_Gas_bio,,,-6.861
NEL,2050,Heat,FuelService_Wood,,,-129.5
NEL,2050,Transport,CH4,,,-5.496
NEL,2050,Transport,FuelService_Gas_bio,,,-0.2892
NEL,2050,Transport,FuelService_LF_bio,,,-78.79
NEL,2050,Transport,H2,,,-0.8924
NEL,2050,Transport,REfuel,,,-577.8
NIS,2050,FuelImport,Gas_bio,,,26.73
NIS,2050,FuelImport,LF_bio,,,49.26
NIS,2050,FuelImport,Wood,,,5664
NIS,2050,Heat,CH4,,,-253.9
NIS,2050,Heat,FuelService_Gas_bio,,,-13.37
NIS,2050,Heat,FuelService_Wood,,,-2832
NIS,2050,Transport,FuelService_LF_bio,,,-24.63
NIS,2050,Transport,H2,,,-0.9175
NIS,2050,Transport,REfuel,,,-180.6
OTG,2050,FuelImport,Gas_bio,,,115.3
OTG,2050,FuelImport,LF_bio,,,169
OTG,2050,Heat,CH4,,,-1074
OTG,2050,Heat,FuelService_Gas_bio,,,-56.52
OTG,2050,Transport,CH4,,,-21.95
OTG,2050,Transport,FuelService_Gas_bio,,,-1.155
OTG,2050,Transport,FuelService_LF_bio,,,-84.5
OTG,2050,Transport,H2,,,-1.787
OTG,2050,Transport,REfuel,,,-619.7
TRN,2050,FuelImport,Gas_bio,,,221.2
TRN,2050,FuelImport,LF_bio,,,55.92
TRN,2050,Heat,CH4,,,-2102
TRN,2050,Heat,FuelService_Gas_bio,,,-110.6
TRN,2050,Transport,FuelService_LF_bio,,,-27.96
TRN,2050,Transport,H2,,,-0.5958
TRN,2050,Transport,REfuel,,,-205
WEL,2050,FuelImport,Gas_bio,,,8.721
WEL,2050,FuelImport,LF_bio,,,274.5
WEL,2050,Heat,CH4,,,-73.05
WEL,2050,Heat,FuelService_Gas_bio,,,-3.845
WEL,2050,Transport,CH4,,,-9.8
WEL,2050,Transport,FuelService_Gas_bio,,,-0.5158
WEL,2050,Transport,FuelService_LF_bio,,,-137.3
WEL,2050,Transport,H2,,,-1.273
WEL,2050,Transport,REfuel,,,-1007
WTO,2050,FuelImport,Gas_bio,,,115.7
WTO,2050,FuelImport,LF_bio,,,147.5
WTO,2050,FuelImport,Wood,,,8164
WTO,2050,Heat,CH4,,,-1099
WTO,2050,Heat,FuelService_Gas_bio,,,-57.86
WTO,2050,Heat,FuelService_Wood,,,-4082
WTO,2050,Transport,FuelService_LF_bio,,,-73.74
WTO,2050,Transport,H2,,,-2.197
WTO,2050,Transport,REfuel,,,-540.7
