,,,,coefficient,constant,minLoad,maxLoad,delay
Arapuni,1950,Power_gen,Arapuni_in,-1,,,,
Arapuni,1950,Power_gen,Elec,1,,,,
Arapuni,1950,Power_gen,Karapiro_in,1,,,,
Arapuni,1950,Spill,Arapuni_in,-1,,,,
Arapuni,1950,Spill,Karapiro_in,1,,,,
Aratiatia,1950,Power_gen,Aratiatia_in,-1,,,,
Aratiatia,1950,Power_gen,Elec,1,,,,
Aratiatia,1950,Power_gen,Ohakuri_in,1,,,,
Aratiatia,1950,Spill,Aratiatia_in,-1,,,,
Aratiatia,1950,Spill,Ohakuri_in,1,,,,
Atiamuri,1950,Power_gen,Atiamuri_in,-1,,,,
Atiamuri,1950,Power_gen,Elec,1,,,,
Atiamuri,1950,Power_gen,Whakamaru_in,1,,,,
Atiamuri,1950,Spill,Atiamuri_in,-1,,,,
Atiamuri,1950,Spill,Whakamaru_in,1,,,,
Aviemore,1950,Power_gen,Aviemore_in,-1,,,,
Aviemore,1950,Power_gen,Elec,1,,,,
Aviemore,1950,Power_gen,Waitaki_in,1,,,,
Aviemore,1950,Spill,Aviemore_in,-1,,,,
Aviemore,1950,Spill,Waitaki_in,1,,,,
BIO,1950,Powergen,Elec,1,,,,
BIO,2030,Powergen,Elec,1,,,,
BIO,2050,Powergen,Elec,1,,,,
Battery,2020,Charge,Elec,-1,,,,
Battery,2020,Charge,Elec_battery,0.975,,,,
Battery,2020,Discharge,Elec,1,,,,
Battery,2020,Discharge,Elec_battery,-1.025,,,,
Battery,2030,Charge,Elec,-1,,,,
Battery,2030,Charge,Elec_battery,0.975,,,,
Battery,2030,Discharge,Elec,1,,,,
Battery,2030,Discharge,Elec_battery,-1.025,,,,
Battery,2040,Charge,Elec,-1,,,,
Battery,2040,Charge,Elec_battery,0.975,,,,
Battery,2040,Discharge,Elec,1,,,,
Battery,2040,Discharge,Elec_battery,-1.025,,,,
Battery,2050,Charge,Elec,-1,,,,
Battery,2050,Charge,Elec_battery,0.975,,,,
Battery,2050,Discharge,Elec,1,,,,
Battery,2050,Discharge,Elec_battery,-1.025,,,,
Benmore,1950,Power_gen,Aviemore_in,1,,,,
Benmore,1950,Power_gen,Benmore_in,-1,,,,
Benmore,1950,Power_gen,Elec,1,,,,
Benmore,1950,Spill,Aviemore_in,1,,,,
Benmore,1950,Spill,Benmore_in,-1,,,,
CCGT,1950,Powergen,Elec,1,,,,
CCGT,2030,Powergen,Elec,1,,,,
COAL,1950,Powergen,Elec,1,,,,
COAL,2030,Powergen,Elec,1,,,,
COAL,2050,Powergen,Elec,1,,,,
Clyde_220kV,1950,Power_gen,Dunstan_in,-1,,,,
Clyde_220kV,1950,Power_gen,Elec,1,,,,
Clyde_220kV,1950,Power_gen,Roxburgh_in,1,,,,
Clyde_220kV,1950,Spill,Dunstan_in,-1,,,,
Clyde_220kV,1950,Spill,Roxburgh_in,1,,,,
Cobb,1950,Power_gen,Cobb_in,-1,,,,
Cobb,1950,Power_gen,Elec,1,,,,
Cobb,1950,Power_gen,Water_out,1,,,,
Cobb,1950,Spill,Cobb_in,-1,,,,
Cobb,1950,Spill,Water_out,1,,,,
Coleridge,1950,Power_gen,Coleridge_in,-1,,,,
Coleridge,1950,Power_gen,Elec,1,,,,
Coleridge,1950,Power_gen,Water_out,1,,,,
Coleridge,1950,Spill,Coleridge_in,-1,,,,
Coleridge,1950,Spill,Water_out,1,,,,
DIE,1950,Powergen,Elec,1,,,,
DIE,2030,Powergen,Elec,1,,,,
DIE,2050,Powergen,Elec,1,,,,
Electrolyser,2020,Electrolysis,Elec,-1,,,,
Electrolyser,2020,Electrolysis,H2,0.665,,,,
Electrolyser,2030,Electrolysis,Elec,-1,,,,
Electrolyser,2030,Electrolysis,H2,0.79,,,,
Electrolyser,2040,Electrolysis,Elec,-1,,,,
Electrolyser,2040,Electrolysis,H2,0.79,,,,
Electrolyser,2050,Electrolysis,Elec,-1,,,,
Electrolyser,2050,Electrolysis,H2,0.85,,,,
GT,1950,Powergen,Elec,1,,,,
GT,2030,Powergen,Elec,1,,,,
H2_CCGT,2030,Powergen,Elec,0.58,,,,
H2_CCGT,2030,Powergen,H2,-1,,,,
H2_CCGT,2035,Powergen,Elec,0.59,,,,
H2_CCGT,2035,Powergen,H2,-1,,,,
H2_CCGT,2040,Powergen,Elec,0.6,,,,
H2_CCGT,2040,Powergen,H2,-1,,,,
H2_CCGT,2045,Powergen,Elec,0.6,,,,
H2_CCGT,2045,Powergen,H2,-1,,,,
H2_CCGT,2050,Powergen,Elec,0.6,,,,
H2_CCGT,2050,Powergen,H2,-1,,,,
H2_FC,2020,Powergen,Elec,0.579,,,,
H2_FC,2020,Powergen,H2,-1,,,,
H2_FC,2025,Powergen,Elec,0.6134,,,,
H2_FC,2025,Powergen,H2,-1,,,,
H2_FC,2030,Powergen,Elec,0.6383,,,,
H2_FC,2030,Powergen,H2,-1,,,,
H2_FC,2035,Powergen,Elec,0.6477,,,,
H2_FC,2035,Powergen,H2,-1,,,,
H2_FC,2040,Powergen,Elec,0.6514,,,,
H2_FC,2040,Powergen,H2,-1,,,,
H2_FC,2045,Powergen,Elec,0.6686,,,,
H2_FC,2045,Powergen,H2,-1,,,,
H2_FC,2050,Powergen,Elec,0.6737,,,,
H2_FC,2050,Powergen,H2,-1,,,,
H2_storage,2020,Charge,Elec,-0.04335,,,,
H2_storage,2020,Charge,H2,-0.15,,,,
H2_storage,2020,Charge,H2_stored,0.1335,,,,
H2_storage,2020,Discharge,Elec,,,,,
H2_storage,2020,Discharge,H2,0.15,,,,
H2_storage,2020,Discharge,H2_stored,-0.1665,,,,
H2_storage,2035,Charge,Elec,-0.03547,,,,
H2_storage,2035,Charge,H2,-0.15,,,,
H2_storage,2035,Charge,H2_stored,0.1335,,,,
H2_storage,2035,Discharge,Elec,,,,,
H2_storage,2035,Discharge,H2,0.15,,,,
H2_storage,2035,Discharge,H2_stored,-0.1665,,,,
H2_storage,2050,Charge,Elec,-0.03153,,,,
H2_storage,2050,Charge,H2,-0.15,,,,
H2_storage,2050,Charge,H2_stored,0.1335,,,,
H2_storage,2050,Discharge,Elec,,,,,
H2_storage,2050,Discharge,H2,0.15,,,,
H2_storage,2050,Discharge,H2_stored,-0.1665,,,,
Karapiro,1950,Power_gen,Elec,1,,,,
Karapiro,1950,Power_gen,Karapiro_in,-1,,,,
Karapiro,1950,Power_gen,Water_out,1,,,,
