node,year,sector,commodity,usesFixedProfile
CAN,2020,Inflow,Aviemore_in,1
CAN,2020,Inflow,Benmore_in,1
CAN,2020,Inflow,Coleridge_in,1
CAN,2020,Inflow,Ohau_in,1
CAN,2020,Inflow,Pukaki_in,1
CAN,2020,Inflow,Tekapo_in,1
CAN,2020,Inflow,Waitaki_in,1
CAN,2030,Inflow,Aviemore_in,1
CAN,2030,Inflow,Benmore_in,1
CAN,2030,Inflow,Coleridge_in,1
CAN,2030,Inflow,Ohau_in,1
CAN,2030,Inflow,Pukaki_in,1
CAN,2030,Inflow,Tekapo_in,1
CAN,2030,Inflow,Waitaki_in,1
CEN,2020,Inflow,Mangahao_in,1
CEN,2020,Inflow,Matahina_in,1
CEN,2020,Inflow,Rangipo_in,1
CEN,2020,Inflow,Tokaanu_in,1
CEN,2030,Inflow,Mangahao_in,1
CEN,2030,Inflow,Matahina_in,1
CEN,2030,Inflow,Rangipo_in,1
CEN,2030,Inflow,Tokaanu_in,1
HBY,2020,Inflow,Waikaremoana_in,1
HBY,2030,Inflow,Waikaremoana_in,1
NEL,2020,Inflow,Cobb_in,1
NEL,2030,Inflow,Cobb_in,1
OTG,2020,Inflow,Dunstan_in,1
OTG,2020,Inflow,Dunstan_in,1
OTG,2020,Inflow,Manapouri_in,1
OTG,2020,Inflow,Roxburgh_in,1
OTG,2030,Inflow,Dunstan_in,1
OTG,2030,Inflow,Dunstan_in,1
OTG,2030,Inflow,Manapouri_in,1
OTG,2030,Inflow,Roxburgh_in,1
WTO,2020,Inflow,Arapuni_in,1
WTO,2020,Inflow,Aratiatia_in,1
WTO,2020,Inflow,Atiamuri_in,1
WTO,2020,Inflow,Karapiro_in,1
WTO,2020,Inflow,Maraetai_in,1
WTO,2020,Inflow,Ohakuri_in,1
WTO,2020,Inflow,Waipapa_in,1
WTO,2020,Inflow,Whakamaru_in,1
WTO,2030,Inflow,Arapuni_in,1
WTO,2030,Inflow,Aratiatia_in,1
WTO,2030,Inflow,Atiamuri_in,1
WTO,2030,Inflow,Karapiro_in,1
WTO,2030,Inflow,Maraetai_in,1
WTO,2030,Inflow,Ohakuri_in,1
WTO,2030,Inflow,Waipapa_in,1
WTO,2030,Inflow,Whakamaru_in,1
