,,,,fixed,lower,upper
AKL,2020,Slack,Elec,,,inf
AKL,2030,Slack,Elec,,,inf
BOP,2020,Slack,Elec,,,inf
BOP,2030,Slack,Elec,,,inf
CAN,2020,Slack,Elec,,,inf
CAN,2030,Slack,Elec,,,inf
CEN,2020,Slack,Elec,,,inf
CEN,2030,Slack,Elec,,,inf
HBY,2020,Slack,Elec,,,inf
HBY,2030,Slack,Elec,,,inf
NEL,2020,Slack,Elec,,,inf
NEL,2030,Slack,Elec,,,inf
NIS,2020,Slack,Elec,,,inf
NIS,2030,Slack,Elec,,,inf
OTG,2020,Slack,Elec,,,inf
OTG,2030,Slack,Elec,,,inf
TRN,2020,Slack,Elec,,,inf
TRN,2030,Slack,Elec,,,inf
WEL,2020,Slack,Elec,,,inf
WEL,2030,Slack,Elec,,,inf
WTO,2020,Slack,Elec,,,inf
WTO,2030,Slack,Elec,,,inf
