,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion,nonCircular,initialLevel
AKL,2020,Battery,,,30,1,,
AKL,2020,H2_storage,,,50,1,,
AKL,2030,Battery,,,30,,,
AKL,2035,H2_storage,,,50,,,
AKL,2050,H2_storage,,,50,,,
BOP,2020,Battery,,,30,1,,
BOP,2020,H2_storage,,,50,1,,
BOP,2030,Battery,,,30,,,
BOP,2035,H2_storage,,,50,,,
BOP,2050,H2_storage,,,50,,,
CAN,2020,Battery,,,30,1,,
CAN,2020,H2_storage,,,50,1,,
CAN,2020,Stor_Lake_Hawea,,,,1,,
CAN,2020,Stor_Lake_Ohau,4.201,,,1,,0.1009
CAN,2020,Stor_Lake_Pukaki,337.2,,,1,,0.9277
CAN,2020,Stor_Lake_Taupo,,,,1,,
CAN,2020,Stor_Lake_Tekapo,40.79,,,1,,0.8045
CAN,2020,Stor_Lake_Waikaremoana,,,,1,,
CAN,2020,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
CAN,2030,Battery,,,30,,,
CAN,2030,Stor_Lake_Hawea,,,,1,,
CAN,2030,Stor_Lake_Ohau,,,,1,,
CAN,2030,Stor_Lake_Pukaki,,,,1,,
CAN,2030,Stor_Lake_Taupo,,,,1,,
CAN,2030,Stor_Lake_Tekapo,,,,1,,
CAN,2030,Stor_Lake_Waikaremoana,,,,1,,
CAN,2030,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
CAN,2035,H2_storage,,,50,,,
CAN,2050,H2_storage,,,50,,,
CEN,2020,Battery,,,30,1,,
CEN,2020,H2_storage,,,50,1,,
CEN,2020,Stor_Lake_Hawea,,,,1,,
CEN,2020,Stor_Lake_Ohau,,,,1,,
CEN,2020,Stor_Lake_Pukaki,,,,1,,
CEN,2020,Stor_Lake_Taupo,,,,1,,
CEN,2020,Stor_Lake_Tekapo,,,,1,,
CEN,2020,Stor_Lake_Waikaremoana,,,,1,,
CEN,2020,Stor_Lakes_Manapouri_Te_Anau,,,,1,,
CEN,2030,Battery,,,30,,,
CEN,2030,Stor_Lake_Hawea,,,,1,,
CEN,2030,Stor_Lake_Ohau,,,,1,,
