,,lifeTime,freeDecom,mipUnits,levelLowerLimit,levelUpperLimit,annualDegradation,usageDegradation,sequentialDegradationStates,sequentialSoC,maxCRate,maxERate,chargingLoss,dischargingLoss
Battery,2020,20,,,,1,,,,,,,,
Battery,2030,20,,,,1,,,,,,,,
Battery,2040,20,,,,1,,,,,,,,
Battery,2050,20,,,,1,,,,,,,,
H2_storage,2020,40,,,,1,,,,,,,,
H2_storage,2035,40,,,,1,,,,,,,,
H2_storage,2050,40,,,,1,,,,,,,,
Stor_Lake_Hawea,1950,100,,,0,1,,,,,,,,
Stor_Lake_Ohau,1950,100,,,0,1,,,,,,,,
Stor_Lake_Pukaki,1950,100,,,0,1,,,,,,,,
Stor_Lake_Taupo,1950,100,,,0,1,,,,,,,,
Stor_Lake_Tekapo,1950,100,,,0,1,,,,,,,,
Stor_Lake_Waikaremoana,1950,100,,,0,1,,,,,,,,
Stor_Lakes_Manapouri_Te_Anau,1950,100,,,0,1,,,,,,,,
