,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion,nonCircular,initialLevel
AKL,2020,Battery,,,30,1,,
AKL,2020,H2_storage,,,50,1,,
AKL,2030,Battery,,,30,,,
AKL,2035,H2_storage,,,50,,,
AKL,2050,H2_storage,,,50,,,
BOP,2020,Battery,,,30,1,,
BOP,2020,H2_storage,,,50,1,,
BOP,2030,Battery,,,30,,,
BOP,2035,H2_storage,,,50,,,
BOP,2050,H2_storage,,,50,,,
CAN,2000,Hydro_reservoir,4.201,,,1,,0.101
CAN,2020,Battery,,,30,1,,
CAN,2020,H2_storage,,,50,1,,
CAN,2030,Battery,,,30,,,
CAN,2035,H2_storage,,,50,,,
CAN,2050,H2_storage,,,50,,,
CEN,2000,Hydro_reservoir,,,,1,,
CEN,2020,Battery,,,30,1,,
CEN,2020,H2_storage,,,50,1,,
CEN,2030,Battery,,,30,,,
CEN,2035,H2_storage,,,50,,,
CEN,2050,H2_storage,,,50,,,
HBY,2000,Hydro_reservoir,154.3,,,1,,0.77
HBY,2020,Battery,,,30,1,,
HBY,2020,H2_storage,,,50,1,,
HBY,2030,Battery,,,30,,,
HBY,2035,H2_storage,,,50,,,
HBY,2050,H2_storage,,,50,,,
NEL,2000,Hydro_reservoir,,,,1,,
NEL,2020,Battery,,,30,1,,
NEL,2020,H2_storage,,,50,1,,
NEL,2030,Battery,,,30,,,
NEL,2035,H2_storage,,,50,,,
NEL,2050,H2_storage,,,50,,,
NIS,2020,Battery,,,30,1,,
NIS,2020,H2_storage,,,50,1,,
NIS,2030,Battery,,,30,,,
NIS,2035,H2_storage,,,50,,,
NIS,2050,H2_storage,,,50,,,
OTG,2000,Hydro_reservoir,437.8,,,1,,0.73
OTG,2020,Battery,,,30,1,,
OTG,2020,H2_storage,,,50,1,,
OTG,2030,Battery,,,30,,,
OTG,2035,H2_storage,,,50,,,
OTG,2050,H2_storage,,,50,,,
TRN,2020,Battery,,,30,1,,
TRN,2020,H2_storage,,,50,1,,
TRN,2030,Battery,,,30,,,
TRN,2035,H2_storage,,,50,,,
TRN,2050,H2_storage,,,50,,,
WEL,2020,Battery,,,30,1,,
WEL,2020,H2_storage,,,50,1,,
WEL,2030,Battery,,,30,,,
WEL,2035,H2_storage,,,50,,,
WEL,2050,H2_storage,,,50,,,
WTO,2000,Hydro_reservoir,67.5,,,1,,0.873
WTO,2020,Battery,,,30,1,,
WTO,2020,H2_storage,,,50,1,,
WTO,2030,Battery,,,30,,,
WTO,2035,H2_storage,,,50,,,
WTO,2050,H2_storage,,,50,,,
