,,,,,,perActivity
CO2_emission,global,horizon,BIO,2020,Powergen,0
CO2_emission,global,horizon,BIO,2030,Powergen,0
CO2_emission,global,horizon,CCGT,1950,Powergen,0.3476
CO2_emission,global,horizon,CCGT,2030,Powergen,0.3304
CO2_emission,global,horizon,COAL,2020,Powergen,34.06
CO2_emission,global,horizon,COAL,2030,Powergen,34.06
CO2_emission,global,horizon,DIE,2020,Powergen,1.018
CO2_emission,global,horizon,DIE,2030,Powergen,1.018
CO2_emission,global,horizon,GT,1950,Powergen,0.4917
CO2_emission,global,horizon,GT,2030,Powergen,0.4689
CO2_emission,global,horizon,OCGT,1950,Powergen,0.4917
CO2_emission,global,horizon,OCGT,2030,Powergen,0.4689
FuelCost,global,horizon,BIO,2020,Powergen,300
FuelCost,global,horizon,BIO,2030,Powergen,300
FuelCost,global,horizon,CCGT,1950,Powergen,0.362
FuelCost,global,horizon,CCGT,2030,Powergen,0.5081
FuelCost,global,horizon,COAL,2020,Powergen,15
FuelCost,global,horizon,COAL,2030,Powergen,15
FuelCost,global,horizon,DIE,2020,Powergen,2.214
FuelCost,global,horizon,DIE,2030,Powergen,2.214
FuelCost,global,horizon,GT,1950,Powergen,0.5122
FuelCost,global,horizon,GT,2030,Powergen,0.7211
FuelCost,global,horizon,OCGT,1950,Powergen,0.5122
FuelCost,global,horizon,OCGT,2030,Powergen,0.7211
