,,,,usesFixedProfile,usesLowerProfile,usesUpperProfile,usesFixedSum,usesLowerSum,usesUpperSum,scaleFixProfileWithFixSum,scaleLowProfileWithLowSum,scaleUpProfileWithUpSum
AKL,2020,Ocean,Water_out,,,1,,,,,,
AKL,2020,Slack,Elec,,1,,,,1,,,
AKL,2020,Wholesale,Elec,1,,,,,,,,
AKL,2030,Demand,H2,1,,,,,,,,
AKL,2030,Ocean,Water_out,,,1,,,,,,
AKL,2030,Slack,Elec,,1,,,,1,,,
AKL,2030,Wholesale,Elec,1,,,,,,,,
BOP,2020,Inflow,Water_in,1,,,,,,,,
BOP,2020,Ocean,Water_out,,,1,,,,,,
BOP,2020,Slack,Elec,,1,,,,1,,,
BOP,2020,Wholesale,Elec,1,,,,,,,,
BOP,2030,Demand,H2,1,,,,,,,,
BOP,2030,Inflow,Water_in,1,,,,,,,,
BOP,2030,Ocean,Water_out,,,1,,,,,,
BOP,2030,Slack,Elec,,1,,,,1,,,
BOP,2030,Wholesale,Elec,1,,,,,,,,
CAN,2020,Inflow,Water_in,1,,,,,,,,
CAN,2020,Ocean,Water_out,,,1,,,,,,
CAN,2020,Slack,Elec,,1,,,,1,,,
CAN,2020,Wholesale,Elec,1,,,,,,,,
CAN,2030,Demand,H2,1,,,,,,,,
CAN,2030,Inflow,Water_in,1,,,,,,,,
CAN,2030,Ocean,Water_out,,,1,,,,,,
CAN,2030,Slack,Elec,,1,,,,1,,,
CAN,2030,Wholesale,Elec,1,,,,,,,,
CEN,2020,Inflow,Water_in,1,,,,,,,,
CEN,2020,Ocean,Water_out,,,1,,,,,,
CEN,2020,Slack,Elec,,1,,,,1,,,
CEN,2020,Wholesale,Elec,1,,,,,,,,
CEN,2030,Demand,H2,1,,,,,,,,
CEN,2030,Inflow,Water_in,1,,,,,,,,
CEN,2030,Ocean,Water_out,,,1,,,,,,
CEN,2030,Slack,Elec,,1,,,,1,,,
CEN,2030,Wholesale,Elec,1,,,,,,,,
HBY,2020,Inflow,Water_in,1,,,,,,,,
HBY,2020,Ocean,Water_out,,,1,,,,,,
HBY,2020,Slack,Elec,,1,,,,1,,,
HBY,2020,Wholesale,Elec,1,,,,,,,,
HBY,2030,Demand,H2,1,,,,,,,,
HBY,2030,Inflow,Water_in,1,,,,,,,,
HBY,2030,Ocean,Water_out,,,1,,,,,,
HBY,2030,Slack,Elec,,1,,,,1,,,
HBY,2030,Wholesale,Elec,1,,,,,,,,
NEL,2020,Inflow,Water_in,1,,,,,,,,
NEL,2020,Ocean,Water_out,,,1,,,,,,
NEL,2020,Slack,Elec,,1,,,,1,,,
NEL,2020,Wholesale,Elec,1,,,,,,,,
NEL,2030,Demand,H2,1,,,,,,,,
NEL,2030,Inflow,Water_in,1,,,,,,,,
NEL,2030,Ocean,Water_out,,,1,,,,,,
NEL,2030,Slack,Elec,,1,,,,1,,,
NEL,2030,Wholesale,Elec,1,,,,,,,,
NIS,2020,Ocean,Water_out,,,1,,,,,,
NIS,2020,Slack,Elec,,1,,,,1,,,
NIS,2020,Wholesale,Elec,1,,,,,,,,
NIS,2030,Demand,H2,1,,,,,,,,
NIS,2030,Ocean,Water_out,,,1,,,,,,
NIS,2030,Slack,Elec,,1,,,,1,,,
NIS,2030,Wholesale,Elec,1,,,,,,,,
OTG,2020,Inflow,Water_in,1,,,,,,,,
OTG,2020,Ocean,Water_out,,,1,,,,,,
OTG,2020,Slack,Elec,,1,,,,1,,,
OTG,2020,Wholesale,Elec,1,,,,,,,,
OTG,2030,Demand,H2,1,,,,,,,,
OTG,2030,Inflow,Water_in,1,,,,,,,,
OTG,2030,Ocean,Water_out,,,1,,,,,,
OTG,2030,Slack,Elec,,1,,,,1,,,
OTG,2030,Wholesale,Elec,1,,,,,,,,
TRN,2020,Ocean,Water_out,,,1,,,,,,
TRN,2020,Slack,Elec,,1,,,,1,,,
TRN,2020,Wholesale,Elec,1,,,,,,,,
TRN,2030,Demand,H2,1,,,,,,,,
TRN,2030,Ocean,Water_out,,,1,,,,,,
TRN,2030,Slack,Elec,,1,,,,1,,,
TRN,2030,Wholesale,Elec,1,,,,,,,,
WEL,2020,Ocean,Water_out,,,1,,,,,,
WEL,2020,Slack,Elec,,1,,,,1,,,
WEL,2020,Wholesale,Elec,1,,,,,,,,
WEL,2030,Demand,H2,1,,,,,,,,
WEL,2030,Ocean,Water_out,,,1,,,,,,
WEL,2030,Slack,Elec,,1,,,,1,,,
WEL,2030,Wholesale,Elec,1,,,,,,,,
WTO,2020,Inflow,Water_in,1,,,,,,,,
WTO,2020,Ocean,Water_out,,,1,,,,,,
WTO,2020,Slack,Elec,,1,,,,1,,,
WTO,2020,Wholesale,Elec,1,,,,,,,,
WTO,2030,Demand,H2,1,,,,,,,,
WTO,2030,Inflow,Water_in,1,,,,,,,,
WTO,2030,Ocean,Water_out,,,1,,,,,,
WTO,2030,Slack,Elec,,1,,,,1,,,
WTO,2030,Wholesale,Elec,1,,,,,,,,
