,,,,,perFlow,perPeak
CO2_emission,global,2020,Heat,Coal_fossil,0.3546,
CO2_emission,global,2020,Heat,Gas_fossil,0.2048,
CO2_emission,global,2020,Heat,LF_fossil,0.2624,
CO2_emission,global,2020,Transport,Coal_fossil,0.3546,
CO2_emission,global,2020,Transport,Gas_fossil,0.2048,
CO2_emission,global,2020,Transport,LF_fossil,0.2624,
CO2_emission,global,2025,Heat,Coal_fossil,0.3546,
CO2_emission,global,2025,Heat,Gas_fossil,0.2048,
CO2_emission,global,2025,Heat,LF_fossil,0.2624,
CO2_emission,global,2025,Transport,Coal_fossil,0.3546,
CO2_emission,global,2025,Transport,Gas_fossil,0.2048,
CO2_emission,global,2025,Transport,LF_fossil,0.2624,
CO2_emission,global,2030,Heat,Coal_fossil,0.3546,
CO2_emission,global,2030,Heat,Gas_fossil,0.2048,
CO2_emission,global,2030,Heat,LF_fossil,0.2624,
CO2_emission,global,2030,Transport,Coal_fossil,0.3546,
CO2_emission,global,2030,Transport,Gas_fossil,0.2048,
CO2_emission,global,2030,Transport,LF_fossil,0.2624,
CO2_emission,global,2035,Heat,Coal_fossil,0.3546,
CO2_emission,global,2035,Heat,Gas_fossil,0.2048,
CO2_emission,global,2035,Heat,LF_fossil,0.2624,
CO2_emission,global,2035,Transport,Coal_fossil,0.3546,
CO2_emission,global,2035,Transport,Gas_fossil,0.2048,
CO2_emission,global,2035,Transport,LF_fossil,0.2624,
CO2_emission,global,2040,Heat,Coal_fossil,0.3546,
CO2_emission,global,2040,Heat,Gas_fossil,0.2048,
CO2_emission,global,2040,Heat,LF_fossil,0.2624,
CO2_emission,global,2040,Transport,Coal_fossil,0.3546,
CO2_emission,global,2040,Transport,Gas_fossil,0.2048,
CO2_emission,global,2040,Transport,LF_fossil,0.2624,
CO2_emission,global,2045,Heat,Coal_fossil,0.3546,
CO2_emission,global,2045,Heat,Gas_fossil,0.2048,
CO2_emission,global,2045,Heat,LF_fossil,0.2624,
CO2_emission,global,2045,Transport,Coal_fossil,0.3546,
CO2_emission,global,2045,Transport,Gas_fossil,0.2048,
CO2_emission,global,2045,Transport,LF_fossil,0.2624,
FuelCost,global,2020,Heat,Coal_fossil,0.0101,
FuelCost,global,2020,Heat,Gas_fossil,0.0299,
FuelCost,global,2020,Heat,LF_fossil,0.0528,
FuelCost,global,2020,Transport,Coal_fossil,0.0101,
FuelCost,global,2020,Transport,Gas_fossil,0.0299,
FuelCost,global,2020,Transport,LF_fossil,0.0528,
FuelCost,global,2025,Heat,Coal_fossil,0.0101,
FuelCost,global,2025,Heat,Gas_fossil,0.0299,
FuelCost,global,2025,Heat,LF_fossil,0.0528,
FuelCost,global,2025,Transport,Coal_fossil,0.0101,
FuelCost,global,2025,Transport,Gas_fossil,0.0299,
FuelCost,global,2025,Transport,LF_fossil,0.0528,
FuelCost,global,2030,Heat,Coal_fossil,0.0101,
FuelCost,global,2030,Heat,Gas_fossil,0.0299,
FuelCost,global,2030,Heat,LF_fossil,0.0528,
FuelCost,global,2030,Transport,Coal_fossil,0.0101,
FuelCost,global,2030,Transport,Gas_fossil,0.0299,
FuelCost,global,2030,Transport,LF_fossil,0.0528,
FuelCost,global,2035,Heat,Coal_fossil,0.0101,
FuelCost,global,2035,Heat,Gas_fossil,0.0299,
FuelCost,global,2035,Heat,LF_fossil,0.0528,
FuelCost,global,2035,Transport,Coal_fossil,0.0101,
FuelCost,global,2035,Transport,Gas_fossil,0.0299,
FuelCost,global,2035,Transport,LF_fossil,0.0528,
FuelCost,global,2040,Heat,Coal_fossil,0.0101,
FuelCost,global,2040,Heat,Gas_fossil,0.0299,
FuelCost,global,2040,Heat,LF_fossil,0.0528,
FuelCost,global,2040,Transport,Coal_fossil,0.0101,
FuelCost,global,2040,Transport,Gas_fossil,0.0299,
FuelCost,global,2040,Transport,LF_fossil,0.0528,
FuelCost,global,2045,Heat,Coal_fossil,0.0101,
FuelCost,global,2045,Heat,Gas_fossil,0.0299,
FuelCost,global,2045,Heat,LF_fossil,0.0528,
FuelCost,global,2045,Transport,Coal_fossil,0.0101,
FuelCost,global,2045,Transport,Gas_fossil,0.0299,
FuelCost,global,2045,Transport,LF_fossil,0.0528,
SlackCost,global,2020,Slack,Elec,10,
SlackCost,global,2020,Slack,H2,10,
SlackCost,global,2025,Slack,Elec,10,
SlackCost,global,2025,Slack,H2,10,
SlackCost,global,2030,Slack,Elec,10,
SlackCost,global,2030,Slack,H2,10,
SlackCost,global,2035,Slack,Elec,10,
SlackCost,global,2035,Slack,H2,10,
SlackCost,global,2040,Slack,Elec,10,
SlackCost,global,2040,Slack,H2,10,
SlackCost,global,2045,Slack,Elec,10,
SlackCost,global,2045,Slack,H2,10,
SlackCost,global,2050,Slack,Elec,10,
SlackCost,global,2050,Slack,H2,10,
