,,,unitsBuild,unitsLowerLimit,unitsUpperLimit,noExpansion
AKL,1992,BIO,0.0055,,,
AKL,1997,COAL,0.112,,,
AKL,2003,BIO,0.007,,,
AKL,2005,GT,0.0036,,,
AKL,2020,BIO,,,100,1
AKL,2020,Battery,,,50,
AKL,2020,CCGT,,,100,1
AKL,2020,COAL,,,100,1
AKL,2020,DIE,,,100,1
AKL,2020,Electrolyser,,,100,
AKL,2020,GT,,,100,1
AKL,2020,H2_CCGT,,,100,
AKL,2020,H2_FC,,,100,
AKL,2020,H2_storage,,,50,
AKL,2020,OCGT,,,100,1
AKL,2020,pv_central_fixed,,,180.7,1
AKL,2020,pv_decentral,,,2.203,1
AKL,2020,wind_offshore_floating,,,34.72,1
AKL,2020,wind_offshore_foundation,,,12.56,1
AKL,2020,wind_onshore,,,7.569,1
AKL,2025,BIO,,,100,
AKL,2025,CCGT,,,100,
AKL,2025,COAL,,,100,
AKL,2025,DIE,,,100,
AKL,2025,Electrolyser,,,100,
AKL,2025,GT,,,100,
AKL,2025,H2_CCGT,,,100,
AKL,2025,H2_FC,,,100,
AKL,2025,OCGT,,,100,
AKL,2025,pv_central_fixed,,,180.7,
AKL,2025,pv_decentral,,,2.203,
AKL,2025,wind_offshore_floating,,,34.72,
AKL,2025,wind_offshore_foundation,,,12.56,
AKL,2025,wind_onshore,,,7.569,
AKL,2030,BIO,,,100,
AKL,2030,Battery,,,50,
AKL,2030,CCGT,,,100,
AKL,2030,COAL,,,100,
AKL,2030,DIE,,,100,
AKL,2030,Electrolyser,,,100,
AKL,2030,GT,,,100,
AKL,2030,H2_CCGT,,,100,
AKL,2030,H2_FC,,,100,
AKL,2030,OCGT,,,100,
AKL,2030,pv_central_fixed,,,180.7,
AKL,2030,pv_decentral,,,2.203,
AKL,2030,wind_offshore_floating,,,34.72,
AKL,2030,wind_offshore_foundation,,,12.56,
AKL,2030,wind_onshore,,,7.569,
AKL,2035,BIO,,,100,
AKL,2035,CCGT,,,100,
AKL,2035,COAL,,,100,
AKL,2035,DIE,,,100,
AKL,2035,Electrolyser,,,100,
AKL,2035,GT,,,100,
AKL,2035,H2_CCGT,,,100,
AKL,2035,H2_FC,,,100,
AKL,2035,H2_storage,,,50,
AKL,2035,OCGT,,,100,
AKL,2035,pv_central_fixed,,,180.7,
AKL,2035,pv_decentral,,,2.203,
AKL,2035,wind_offshore_floating,,,34.72,
AKL,2035,wind_offshore_foundation,,,12.56,
AKL,2035,wind_onshore,,,7.569,
AKL,2040,BIO,,,100,
AKL,2040,CCGT,,,100,
AKL,2040,COAL,,,100,
AKL,2040,DIE,,,100,
AKL,2040,Electrolyser,,,100,
AKL,2040,GT,,,100,
AKL,2040,H2_CCGT,,,100,
AKL,2040,H2_FC,,,100,
AKL,2040,OCGT,,,100,
AKL,2040,pv_central_fixed,,,180.7,
AKL,2040,pv_decentral,,,2.203,
AKL,2040,wind_offshore_floating,,,34.72,
AKL,2040,wind_offshore_foundation,,,12.56,
AKL,2040,wind_onshore,,,7.569,
AKL,2045,BIO,,,100,
AKL,2045,CCGT,,,100,
AKL,2045,COAL,,,100,
AKL,2045,DIE,,,100,
AKL,2045,Electrolyser,,,100,
AKL,2045,GT,,,100,
AKL,2045,H2_CCGT,,,100,
AKL,2045,H2_FC,,,100,
AKL,2045,OCGT,,,100,
AKL,2045,pv_central_fixed,,,180.7,
AKL,2045,pv_decentral,,,2.203,
AKL,2045,wind_offshore_floating,,,34.72,
AKL,2045,wind_offshore_foundation,,,12.56,
AKL,2045,wind_onshore,,,7.569,
AKL,2050,BIO,,,100,
AKL,2050,CCGT,,,100,
AKL,2050,COAL,,,100,
AKL,2050,DIE,,,100,
AKL,2050,Electrolyser,,,100,
AKL,2050,GT,,,100,
AKL,2050,H2_CCGT,,,100,
AKL,2050,H2_FC,,,100,
AKL,2050,H2_storage,,,50,
AKL,2050,OCGT,,,100,
AKL,2050,pv_central_fixed,,,180.7,
AKL,2050,pv_central_track_azimuth,,,180.7,
AKL,2050,pv_decentral,,,2.203,
AKL,2050,wind_offshore_floating,,,34.72,
AKL,2050,wind_offshore_foundation,,,12.56,
AKL,2050,wind_onshore,,,7.569,
BOP,1966,GT,0.037,,,
BOP,1966,geoth,0.008,,0,0
BOP,1989,geoth,0.006,,0,0
BOP,1996,OCGT,0.01,,,
BOP,2000,Hydro,0.1709,,100,1
BOP,2008,geoth,0.115,,0,0
BOP,2013,geoth,0.021,,0,0
BOP,2018,geoth,0.025,,0,0
BOP,2020,BIO,,,100,1
BOP,2020,Battery,,,50,
BOP,2020,CCGT,,,100,1
BOP,2020,COAL,,,100,1
BOP,2020,DIE,,,100,1
BOP,2020,Electrolyser,,,100,
BOP,2020,GT,,,100,1
BOP,2020,H2_CCGT,,,100,
BOP,2020,H2_FC,,,100,
BOP,2020,H2_storage,,,50,
BOP,2020,Hydro,,,100,1
BOP,2020,OCGT,,,100,1
BOP,2020,geoth,0,,100,1
BOP,2020,pv_central_fixed,,,238,1
BOP,2020,pv_decentral,,,0.5635,1
BOP,2020,wind_offshore_floating,,,21.9,1
BOP,2020,wind_offshore_foundation,,,5.591,1
BOP,2020,wind_onshore,,,11.4,1
BOP,2025,BIO,,,100,
BOP,2025,CCGT,,,100,
BOP,2025,COAL,,,100,
BOP,2025,DIE,,,100,
BOP,2025,Electrolyser,,,100,
BOP,2025,GT,,,100,
BOP,2025,H2_CCGT,,,100,
BOP,2025,H2_FC,,,100,
BOP,2025,Hydro,,,100,1
BOP,2025,OCGT,,,100,
BOP,2025,geoth,0,,100,1
BOP,2025,pv_central_fixed,,,238,
BOP,2025,pv_decentral,,,0.5635,
BOP,2025,wind_offshore_floating,,,21.9,
BOP,2025,wind_offshore_foundation,,,5.591,
BOP,2025,wind_onshore,,,11.4,
BOP,2030,BIO,,,100,
BOP,2030,Battery,,,50,
BOP,2030,CCGT,,,100,
BOP,2030,COAL,,,100,
BOP,2030,DIE,,,100,
BOP,2030,Electrolyser,,,100,
BOP,2030,GT,,,100,
BOP,2030,H2_CCGT,,,100,
BOP,2030,H2_FC,,,100,
BOP,2030,Hydro,,,100,1
BOP,2030,OCGT,,,100,
BOP,2030,geoth,0,,100,1
BOP,2030,pv_central_fixed,,,238,
BOP,2030,pv_decentral,,,0.5635,
BOP,2030,wind_offshore_floating,,,21.9,
BOP,2030,wind_offshore_foundation,,,5.591,
BOP,2030,wind_onshore,,,11.4,
BOP,2035,BIO,,,100,
BOP,2035,CCGT,,,100,
BOP,2035,COAL,,,100,
BOP,2035,DIE,,,100,
BOP,2035,Electrolyser,,,100,
BOP,2035,GT,,,100,
BOP,2035,H2_CCGT,,,100,
BOP,2035,H2_FC,,,100,
BOP,2035,H2_storage,,,50,
BOP,2035,Hydro,,,100,1
BOP,2035,OCGT,,,100,
BOP,2035,geoth,0,,100,1
BOP,2035,pv_central_fixed,,,238,
BOP,2035,pv_decentral,,,0.5635,
BOP,2035,wind_offshore_floating,,,21.9,
BOP,2035,wind_offshore_foundation,,,5.591,
BOP,2035,wind_onshore,,,11.4,
BOP,2040,BIO,,,100,
BOP,2040,CCGT,,,100,
BOP,2040,COAL,,,100,
BOP,2040,DIE,,,100,
BOP,2040,Electrolyser,,,100,
BOP,2040,GT,,,100,
BOP,2040,H2_CCGT,,,100,
BOP,2040,H2_FC,,,100,
BOP,2040,Hydro,,,100,1
BOP,2040,OCGT,,,100,
BOP,2040,geoth,0,,100,1
BOP,2040,pv_central_fixed,,,238,
BOP,2040,pv_decentral,,,0.5635,
BOP,2040,wind_offshore_floating,,,21.9,
BOP,2040,wind_offshore_foundation,,,5.591,
BOP,2040,wind_onshore,,,11.4,
BOP,2045,BIO,,,100,
BOP,2045,CCGT,,,100,
BOP,2045,COAL,,,100,
