,,lifeTime,freeDecom,mipUnits,mipDispatch,activityLowerLimit,activityUpperLimit,activityRampLimit,startupLimit,minUptime,minDowntime,mipDetailedPartialLoad
BIO,1950,30,,,,,1,,,,,
BIO,2030,30,,,,,1,,,,,
BIO,2050,30,,,,,1,,,,,
Battery,2020,20,,,,,1,,,,,
Battery,2030,20,,,,,1,,,,,
Battery,2040,20,,,,,1,,,,,
Battery,2050,20,,,,,1,,,,,
CCGT,1950,30,,,,,1,,,,,
CCGT,2030,30,,,,,1,,,,,
COAL,1950,30,,,,,1,,,,,
COAL,2030,30,,,,,1,,,,,
COAL,2050,30,,,,,1,,,,,
DIE,1950,30,,,,,1,,,,,
DIE,2030,30,,,,,1,,,,,
DIE,2050,30,,,,,1,,,,,
Electrolyser,2020,25,,,,,1,,,,,
Electrolyser,2030,30,,,,,1,,,,,
Electrolyser,2040,32,,,,,1,,,,,
Electrolyser,2050,35,,,,,1,,,,,
GT,1950,30,,,,,1,,,,,
GT,2030,30,,,,,1,,,,,
H2_CCGT,2030,35,,,,,1,,,,,
H2_CCGT,2035,35,,,,,1,,,,,
H2_CCGT,2040,35,,,,,1,,,,,
H2_CCGT,2045,35,,,,,1,,,,,
H2_CCGT,2050,35,,,,,1,,,,,
H2_FC,2020,35,,,,,1,,,,,
H2_FC,2025,35,,,,,1,,,,,
H2_FC,2030,35,,,,,1,,,,,
H2_FC,2035,35,,,,,1,,,,,
H2_FC,2040,35,,,,,1,,,,,
H2_FC,2045,35,,,,,1,,,,,
H2_FC,2050,35,,,,,1,,,,,
H2_storage,2020,40,,,,,1,,,,,
H2_storage,2035,40,,,,,1,,,,,
H2_storage,2050,40,,,,,1,,,,,
Hydro,1950,100,,,,,1,,,,,
OCGT,1950,30,,,,,1,,,,,
OCGT,2030,30,,,,,1,,,,,
geoth,1950,100,,,,,0.9,,,,,
pv_central_fixed,1950,35,,,,,0,,,,,
pv_central_fixed,2030,40,,,,,0,,,,,
pv_central_fixed,2040,40,,,,,0,,,,,
pv_central_fixed,2050,40,,,,,0,,,,,
pv_decentral,1950,35,,,,,0,,,,,
pv_decentral,2030,40,,,,,0,,,,,
pv_decentral,2040,40,,,,,0,,,,,
pv_decentral,2050,40,,,,,0,,,,,
wind_offshore_floating,1950,27,,,,,0,,,,,
wind_offshore_floating,2030,30,,,,,0,,,,,
wind_offshore_floating,2040,30,,,,,0,,,,,
wind_offshore_floating,2050,30,,,,,0,,,,,
wind_offshore_foundation,1950,27,,,,,0,,,,,
wind_offshore_foundation,2030,30,,,,,0,,,,,
wind_offshore_foundation,2040,30,,,,,0,,,,,
wind_offshore_foundation,2050,30,,,,,0,,,,,
wind_onshore,1950,27,,,,,0,,,,,
wind_onshore,2030,30,,,,,0,,,,,
wind_onshore,2040,30,,,,,0,,,,,
wind_onshore,2050,30,,,,,0,,,,,
