,,,,fixed,lower,upper
AKL,2020,Heat,Coal_fossil,,261.1,261.1
AKL,2020,Heat,Gas_fossil,,4003,4003
AKL,2020,Heat,LF_fossil,,99.18,99.18
AKL,2020,Slack,Elec,,,inf
AKL,2020,Transport,LF_fossil,,1.751e+04,1.751e+04
AKL,2025,Heat,Coal_fossil,,219.3,219.3
AKL,2025,Heat,Gas_fossil,,4410,4410
AKL,2025,Heat,LF_fossil,,98.38,98.38
AKL,2025,Transport,Gas_fossil,,6.45,6.45
AKL,2025,Transport,LF_fossil,,1.436e+04,1.436e+04
AKL,2030,Heat,Coal_fossil,,110.7,110.7
AKL,2030,Heat,Gas_efuel,,80.05,80.05
AKL,2030,Heat,Gas_fossil,,3842,3842
AKL,2030,Heat,LF_efuel,,2.21,2.21
AKL,2030,Heat,LF_fossil,,81.7,81.7
AKL,2030,Slack,Elec,,,inf
AKL,2030,Transport,Gas_efuel,,0.2,0.2
AKL,2030,Transport,Gas_fossil,,9.52,9.52
AKL,2030,Transport,LF_efuel,,273.7,273.7
AKL,2030,Transport,LF_fossil,,1.013e+04,1.013e+04
AKL,2035,Heat,Coal_fossil,,116.6,116.6
AKL,2035,Heat,Gas_efuel,,455.2,455.2
AKL,2035,Heat,Gas_fossil,,2489,2489
AKL,2035,Heat,LF_efuel,,8.67,8.67
AKL,2035,Heat,LF_fossil,,43.37,43.37
AKL,2035,Transport,Gas_efuel,,2.55,2.55
AKL,2035,Transport,Gas_fossil,,13.93,13.93
AKL,2035,Transport,LF_efuel,,980.9,980.9
AKL,2035,Transport,LF_fossil,,4905,4905
AKL,2040,Heat,Coal_fossil,,96.86,96.86
AKL,2040,Heat,Gas_efuel,,823.1,823.1
AKL,2040,Heat,Gas_fossil,,914.6,914.6
AKL,2040,Heat,LF_efuel,,9.84,9.84
AKL,2040,Heat,LF_fossil,,14.91,14.91
AKL,2040,Transport,Gas_efuel,,13.05,13.05
AKL,2040,Transport,Gas_fossil,,14.5,14.5
AKL,2040,Transport,LF_efuel,,1279,1279
AKL,2040,Transport,LF_fossil,,1936,1936
AKL,2045,Heat,Coal_fossil,,62,62
AKL,2045,Heat,Gas_efuel,,1012,1012
AKL,2045,Heat,Gas_fossil,,269.8,269.8
AKL,2045,Heat,LF_efuel,,8.61,8.61
AKL,2045,Heat,LF_fossil,,3.05,3.05
AKL,2045,Transport,Gas_efuel,,38.39,38.39
AKL,2045,Transport,Gas_fossil,,10.24,10.24
AKL,2045,Transport,LF_efuel,,1366,1366
AKL,2045,Transport,LF_fossil,,483.2,483.2
AKL,2050,Heat,Gas_efuel,,1075,1075
AKL,2050,Transport,Gas_efuel,,80.78,80.78
AKL,2050,Transport,LF_efuel,,1137,1137
BOP,2020,Heat,Coal_fossil,,64.39,64.39
BOP,2020,Heat,Gas_fossil,,950.2,950.2
BOP,2020,Heat,LF_fossil,,16.94,16.94
BOP,2020,Slack,Elec,,,inf
BOP,2020,Transport,LF_fossil,,4280,4280
BOP,2025,Heat,Coal_fossil,,55.34,55.34
BOP,2025,Heat,Gas_fossil,,1029,1029
BOP,2025,Heat,LF_fossil,,16.8,16.8
BOP,2025,Transport,Gas_fossil,,10.63,10.63
BOP,2025,Transport,LF_fossil,,3591,3591
BOP,2030,Heat,Coal_fossil,,31.57,31.57
BOP,2030,Heat,Gas_efuel,,18.92,18.92
BOP,2030,Heat,Gas_fossil,,908.1,908.1
BOP,2030,Heat,LF_efuel,,0.38,0.38
BOP,2030,Heat,LF_fossil,,13.95,13.95
BOP,2030,Slack,Elec,,,inf
BOP,2030,Transport,Gas_efuel,,0.33,0.33
BOP,2030,Transport,Gas_fossil,,15.68,15.68
BOP,2030,Transport,LF_efuel,,71.4,71.4
BOP,2030,Transport,LF_fossil,,2642,2642
BOP,2035,Heat,Coal_fossil,,29.2,29.2
BOP,2035,Heat,Gas_efuel,,112.8,112.8
BOP,2035,Heat,Gas_fossil,,616.5,616.5
BOP,2035,Heat,LF_efuel,,1.48,1.48
BOP,2035,Heat,LF_fossil,,7.41,7.41
BOP,2035,Transport,Gas_efuel,,4.2,4.2
BOP,2035,Transport,Gas_fossil,,22.94,22.94
BOP,2035,Transport,LF_efuel,,282.7,282.7
BOP,2035,Transport,LF_fossil,,1414,1414
BOP,2040,Heat,Coal_fossil,,22.08,22.08
BOP,2040,Heat,Gas_efuel,,229.5,229.5
BOP,2040,Heat,Gas_fossil,,255,255
BOP,2040,Heat,LF_efuel,,1.68,1.68
BOP,2040,Heat,LF_fossil,,2.55,2.55
BOP,2040,Transport,Gas_efuel,,21.5,21.5
BOP,2040,Transport,Gas_fossil,,23.88,23.88
BOP,2040,Transport,LF_efuel,,415.2,415.2
BOP,2040,Transport,LF_fossil,,628.7,628.7
BOP,2045,Heat,Coal_fossil,,13.22,13.22
BOP,2045,Heat,Gas_efuel,,307,307
